sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
58938	planting	delayed	9	9	7	7	In 1891 a particularly dry autumn had delayed the planting of the fields .
72497	completion	delayed	28	28	26	26	In 1891 the new church was inaugurated , but the collapse of the bell tower at the costt of nine lives -LRB- 2 June 1902 -RRB- delayed the completion until to 1908 .
76526	trial	delay	29	29	27	27	In 1893 , Ella brought suit to attempt to force her brother to render a public accounting of the estate ; William ' s legal stratagems would delay the trial for six years .
78223	semester	delayed	21	21	17	17	In 1893 , the current building that remains the center of campus was completed ; the fire delayed the first academic semester by one year .
90383	arrest	delay	26	26	24	24	In 1909 , Flynn participated in a free speech fight in Spokane , in which she chained herself to a lamp-post in order to delay her arrest .
166140	bill	delay	13	13	9	9	In 1912 , the House of Lords managed to delay a Home Rule bill passed by the House of Commons .
170562	sale	delayed	26	26	23	23	In 1913 , the Chicago Tunnel Company agreed to sell its telephone operations to American Telephone and Telegraph Company , although regulatory approval delayed the actual sale until 1916 .
172085	start	delayed	22	22	20	20	In 1914 , a railway was surveyed to run south from Whangarei to Waipu , and although World War I delayed the start of any work , the construction of formation was in progress in 1920 .
213904	bill	delay	16	16	13	13	In 1928 , this second period was extended so that the Senate could delay a non-money bill for 20 months .
219858	takeover	delayed	30	30	27	27	In 1910 Belfast Corporation made an offer to purchase the company , and this agreement received Royal Asset on 26 July 1910 , however , legal difficulties delayed the formal takeover until 1911 .
227653	passing	delayed	16	16	14	14	In 1911 , the government tried to ban the two-seater rickshaw , but opposition delayed the passing of this law for another three years .
231167	advance	delay	24	24	22	22	In 1944 , when the invasion of India by Japan was imminent , the regiment was moved to Jessami and Kharasom to delay the advance of the 31st Japanese division .
236159	return	delayed	23	23	21	21	In 1945 the club could not raise sufficient funds to facilitate this and the following year improvement works at the Showgrounds delayed the return by another year .
241849	arrival	delaying	30	30	28	28	In 1942 , the Germans demanded the removal of the Danish military Another success was the disruption of the Danish railway network in the days after D-Day , delaying the arrival of German troops based in Denmark to France .
243670	publication	delay	22	22	21	21	In 1943 Canetti got an offer to publish the book in English with Jonathan Cape , but it was decided to delay publication until after the war .
297595	production	delaying	14	14	13	13	In 1985 the factory and all equipment were destroyed by a fire , delaying production until the following year .
318935	work	delayed	10	10	8	8	In 1983 further funding issues continually blocked and delayed construction work , and in 1984 the council was forced to apply for loans for the continuation of construction .
337598	race	delayed	16	16	13	13	In 1987 with the completion of the Calder Park Thunderdome extensions the much delayed first NASCAR race late in the 1987 racing season with the first major event , the 1988 Goodyear NASCAR 500 following on February 28 , 1988 .
350409	opening	delaying	39	39	36	36	In 1940 , trains commenced running to Dargaville , but the old railway station -LRB- used by the Donnelly ' s Crossing Section -RRB- was closed and a new station built at a different location , delaying the formal opening of the Dargaville Branch until 15 March 1943 , over twenty years after construction began .
356282	career	delay	10	10	7	7	In 1941 , Walker was forced to delay his Disney career to serve in the United States Navy during World War II .
359158	advance	delayed	34	34	31	31	In 1942 , he was the Australian military administrator at Port Moresby at the start of the Imperial Japanese advance along the Kokoda Track after the invasion of Buna-Gona and successfully delayed the Japanese advance until Second Australian Imperial Forces arrived .
362751	work	delayed	22	22	20	20	In 1937 the estate was acquired by Glasgow Corporation for housing , but the outbreak of the Second World War delayed building work .
371696	decision	delayed	30	30	28	28	In 1939 , during the 39th IOC Session , in London , the Portuguese member suggested the promotion of roller hockey to Olympic sport , however the committee delayed any decision .
452889	acceptance	delayed	19	19	17	17	In 1930 , Wang was elected judge on the Permanent Court of International Justice , but he delayed his acceptance as he was guiding the process of drawing up the provisional constitution of 1931 .
467437	experience	delayed	52	52	50	50	In 1935 , Kinsey delivered a lecture to a faculty discussion group at Indiana University , his first public discussion of the topic , wherein he attacked the `` widespread ignorance of sexual structure and physiology '' and promoted his view that `` delayed marriage '' -LRB- that is , delayed sexual experience -RRB- was psychologically harmful .
511933	implementation	delayed	10	10	9	9	In 1955 , Toronto approved water fluoridation , but delayed implementation of the program until 1963 due to a campaign against fluoridation by broadcaster Gordon Sinclair .
549291	move	delaying	18	18	16	16	In 1953 , however , the station in Shandia was wiped out by a flood , delaying their move until September of that year .
581183	renewal	delayed	6	6	5	5	In 1976 , the FCC delayed renewal of AETC ' s licenses due to APT ' s refusal to air programs pertaining to the Vietnam War or the African-American community .
618208	start	delayed	28	28	26	26	In 1972 , Dietz fell from favor with the Giants ' management for his role as player representative during the 1972 Major League Baseball strike that delayed the start of the season .
646656	assassination	delay	19	19	16	16	In 1978 as a member of the Parliamentary Human Rights Group , he campaigned to help delay the anticipated assassination of Archbishop Oscar Romero and represented the British Council of Churches at the funeral in El Salvador in 1980 when 14 people died around him .
647097	broadcast	delay	51	51	49	49	In 1978 Boyd collaborated on and helped finance Ron Peck ' s and Paul Hallam ' s 1978 Nighthawks , described by Time Out as `` Britain ' s first committed gay feature film '' , which attracted controversy in the UK at the time prompting Channel 4 to delay its broadcast until 1984 .
666908	construction	delay	34	34	33	33	In 2006 , the Norwegian National Rail Administration stated that it was not certain that a double-track in a single tunnel would meet European Union regulations , and that they might have to delay construction while looking into the matter .
693992	approval	delaying	32	32	30	30	In 2006 to the surprise and shock of many Colombians , While waiting for the South African beneplacito , Moreno de Caro caused controversy accusing the Colombian Chancillery of deliberately delaying his approval to try to sabotage his appointment going so far as storming into the Chancellery getting in trouble with the security personnel and yelling at the Deputy Chancellor Camilo Reyes Rodr i guez , who would be his future boss .
701129	opening	delay	30	30	28	28	In 2007 , at North York community council , Shiner tabled a successful motion asking Toronto council to stop its plan to close community centres on Mondays and delay the opening of ice rinks .
702067	release	delaying	12	12	10	10	In 2007 , BHP Billiton attracted some public attention for delaying the release of its environmental impact statement for the Olympic Dam expansion , and for the company ' s response to inconsistencies in the scope and configuration of the proposed expansion .
706485	project	delayed	23	23	21	21	In 2005 , the state prepared to ask for bids , but concerns about damage to a Native American cultural site delayed the project two years .
713391	return	delayed	20	20	18	18	In 2006 , all of the states that followed DST -LRB- the above states and South Australia -RRB- delayed their return to Standard Times by one week , because of the Commonwealth Games held in Melbourne .
713399	return	delayed	20	20	18	18	In 2006 , all states that followed daylight-saving time -LRB- the above listed states plus South Australia -RRB- delayed the return to their respective Standard Times by a week , due to the 2006 Commonwealth Games in Melbourne .
720358	surgery	delayed	13	13	11	11	In 2006 , during a surprising Oiler playoff run , he delayed elective surgery for a hernia in order to see the Stanley Cup playoffs through to the finish .
722849	project	delayed	8	8	7	7	In 2006 , Haasan ' s long delayed project , the police story Vettaiyaadu Vilaiyaadu emerged as a blockbuster .
