sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
423	practice	discontinuing	16	16	14	14	I ' m going to ask Centrx to oblige the consensus demonstrated here by discontinuing the practice , even though he himself thinks it ' s a good idea .
28449	business	discontinued	15	15	12	12	In 1884 , McCardle moved to Pahiatua himself , and though he discontinued the nursery business , he had , at his homestead on the banks of the Mangahao River , an orchard of some twelve acres and a flower garden containing an extensive collection of Rhododendrons .
45926	production	discontinued	22	22	21	21	In 1903 , William led the company into the manufacture of marine steam engines and waterworks pumping engines , and he discontinued production of its previous milling product line .
48051	work	discontinued	9	9	7	7	In 1904 in his seventieth year he discontinued systematic work , though he retained his interest in astronomy and continued to do some observing , and in the following year the Royal Astronomical Society of London recognised his work by awarding him the Jackson-Gwilt Medal of the society .
54912	use	discontinue	18	18	17	17	In 1889 , The New York Times called on the Ordnance Bureau of the War Department to discontinue use of the Parrott gun altogether , following a series of mishaps at the West Point training grounds .
67480	manufacture	discontinued	6	6	4	4	In 1900 the company discontinued the manufacture of plumbing goods in order to devote its energies entirely to the cooking utensil field .
73306	education	discontinued	30	30	27	27	In 1892 Bialik heard news that the Volozhin yeshiva had closed , and rushed home to Zhitomir , to prevent his grandfather from discovering that he had discontinued his religious education .
86363	education	discontinued	6	6	3	3	In 1908 he discontinued his engineering education and moved to Paris as a student of Henri Matisse for two years .
105255	practice	discontinuing	12	12	9	9	In 1904 , the church issued a Second Manifesto discontinuing the official practice worldwide .
109565	grant	discontinued	14	14	11	11	In 1905 the Government declared the college to be self-supporting and discontinued the salary grant .
135945	manufacture	discontinue	12	12	10	10	In 1918 Sears announced that the Meriden Firearms Company would discontinue the manufacture of sporting firearms .
136777	sale	discontinued	26	26	24	24	In 1918 the LSWR -LRB- which provided the LNC ' s passenger carriages -RRB- abandoned second class services and the LNC as a consequence discontinued the sale of second class fares to living passengers , but continued to separate coffin tickets into first , second and third class dependent on the type of funeral booked .
142064	Dr	discontinued	9	9	7	7	In 1923 , when the magazine was discontinued , Dr .
168241	practice	discontinued	26	26	24	24	In 1913 , he also became the first president to deliver the State of the Union address in person since 1801 when Thomas Jefferson discontinued this practice .
171036	award	discontinued	7	7	5	5	In 1913 , the navy discontinued the award of the West Indies Campaign Medal and extended the criteria of the Spanish Campaign Medal to any member of the Navy or Marine Corps who had served on active duty during the Spanish American War .
171615	Dr	discontinued	9	9	7	7	In 1913 when Dos Naye Leben was discontinued , Dr .
183112	assistance	discontinued	37	37	35	35	In 1927 , he was lucky enough to meet a Mrs Halley , a rich Australian , who supported him for a year but as he was unwilling to work under her orders , she discontinued her assistance .
192420	service	discontinued	5	5	4	4	In 1922 the railroad discontinued service .
230569	service	discontinued	6	6	5	5	In 1944 , the railway discontinued service south to Damon and the line terminated at Guy .
281772	line	discontinued	6	6	3	3	In 1974 Whitaker discontinued the Coronado line .
298542	brand	discontinue	11	11	8	8	In 1985 , the PSA Group decided to discontinue the Talbot brand , with the last Talbot passenger vehicle being the Samba , and market the Arizona as the Peugeot 309 instead .
299024	accreditation	discontinued	13	13	10	10	In 1985 , the Texas Education Agency -LRB- TEA -RRB- discontinued nonpublic school accreditation because it interfered with the agency ' s first obligation to the public schools .
313701	wine	discontinued	22	22	13	13	In 1982 , the Ch a teau Yquem cigar produced by Davidoff was discontinued after the owner of Ch a teau d'Yquem wine protested over their unauthorized use of the trade name .
318017	line	discontinue	32	32	28	28	In 1983 , CBS sold Rogers and Fender to a group of individuals , who were running the Fender division ; the new owners soon after decided to discontinue the Rogers Drums line .
322157	hardware	discontinued	6	6	4	4	In 1983 , JCPenney discontinued its hardware and automotive departments , and also sold its auto repair shops to Firestone .
