sentence_id	n	p	v	n_first_index	n_last_index	p_first_index	p_last_index	v_first_index	v_last_index	sentence_text
15726	position	up	gave	25	25	19	19	18	18	In 1895 he was elected Vice-President of the Linnean Society , but only a few months later he gave up both this and his secretarial position because of health problems .
16041	writing	up	gave	7	7	5	5	4	4	In 1895 Kendall partially gave up professional writing in order to more fully devote her life to social reform .
16318	work	up	gave	5	5	4	4	3	3	In 1895 Richardson gave up work as a governess to take care of her severely depressed mother , but her mother committed suicide the same year .
17750	law	up	gave	16	16	11	11	10	10	In 1896 , at the age of 30 , Kandinsky gave up a promising career teaching law and economics to enroll in art school in Munich .
21122	career	up	gave	8	8	5	5	4	4	In 1897 , Clowes gave up his journalistic career to focus on naval history , spending the next six years compiling his best known work , The Royal Navy , A History from the Earliest Times to 1900 .
26710	seat	up	give	28	28	26	26	25	25	In 1883 , when he was an elderly and respected minister , he was assaulted and beaten for failing to comply with a demand to give up his seat on a train .
30465	position	up	gave	7	7	5	5	4	4	In 1885 , he gave up his position a collector of customs to become attorney general of the Montana Territory .
34718	work	up	give	20	20	19	19	18	18	In 1886 , the death of a wealthy relative meant Pease received a sizeable legacy allowing him to give up work at the London Stock Exchange and devote time to his socialist interests .
35233	post	up	gave	8	8	6	6	5	5	In 1886 , Wellesley Bailey gave up his post with the Scottish charity and was appointed full-time secretary of The Mission to Lepers in India .
35864	post	up	gave	10	10	8	8	7	7	In 1887 , Elliot ' s father gave up his post in India and took his family to England where he began farming in Essex .
36206	position	up	gave	12	12	5	5	4	4	In 1887 , he gave up both his private practice and his position as territorial attorney general .
36517	seat	up	gave	14	14	12	12	11	11	In 1887 he succeeded his father as second Baron Hindlip and gave up his seat when he entered the House of Lords .
40557	partnership	up	gave	6	6	4	4	3	3	In 1902 Page gave up his partnership with W .
43245	training	up	gave	7	7	4	4	3	3	In 1903 he gave up his architectural training to become a calligrapher , letter-cutter and monumental mason .
47170	practice	up	gave	7	7	4	4	3	3	In 1904 he gave up his law practice in order to focus on poetry and other writing , including theater reviews .
48689	teaching	up	gave	5	5	4	4	3	3	In 1904 she gave up teaching and returned to Vilnius .
49627	settlement	up	gave	6	6	4	4	3	3	In 1888-89 Ursenbach gave up the settlement of Hubbergviertel -LRB- population 220 -RRB- to D u rrenroth and Walterswil and in return got Richisberg -LRB- population 43 -RRB- from Oeschenbach and L u nisberg -LRB- population 118 -RRB- from Wynigen .
50462	seat	up	gave	7	7	5	5	4	4	In 1888 , he gave up his seat on the Legislative Council to his son Horace .
50592	homestead	up	gave	11	11	17	17	16	16	In 1888 he moved to southern Louisiana and took a Government homestead , which he later gave up .
51509	career	up	gave	7	7	5	5	4	4	In 1888 , she gave up her career in the theatre to marry an up-and-coming young lawyer , Georges Laguerre .
52518	position	up	gave	10	10	8	8	7	7	In 1889 , aged 61 , Zeuner gave up his position as director of the polytechnic to work as a lecturer until his retirement in 1897 .
52869	part	up	gave	8	8	5	5	4	4	In 1889 , Champion gave up the blackface part of his act .
53305	mining	up	gave	5	5	4	4	3	3	In 1889 he gave up mining and headed to California where he obtained a position at the Union Oil Company in Ventura County remaining there for four years where he mastered the oil business .
53817	lithography	up	giving	23	23	22	22	21	21	In 1889 he went to Paris to study , under Lefebvre , Constant , and G e r o me , giving up lithography .
56387	post	up	gave	6	6	4	4	3	3	In 1890 he gave up this post to return to army service , being given command of a Prussian cavalry brigade .
56530	life	up	give	39	39	37	37	36	36	In 1890 , he moved to Boston , Massachusetts and was a night watchman at the Custom House Tower for sixteen years until the spring of 1906 , when he was compelled by ill health to give up active life .
57313	commerce	up	give	8	8	7	7	6	6	In 1890 , Maufra decided to give up commerce and to become a full-time painter .
57749	composing	up	give	10	10	9	9	8	8	In 1890 , the 57-year-old Brahms resolved to give up composing .
58725	control	up	gave	7	7	5	5	4	4	In 1890 , Zanzibar gave up formal control over their foreign relations to the British Empire .
66277	post	up	gave	15	15	13	13	12	12	In 1900 he was elected the rector of that university , but gave up the post later that year as he was ordained the archbishop of Lviv with the approval of Emperor Francis-Joseph .
72002	career	up	gave	7	7	4	4	3	3	In 1891 she gave up her stage career and became a teacher in Florence .
73503	dream	up	gave	12	12	10	10	9	9	In 1892 Endell moved to Munich , where he gave up his dream of being a teacher and instead became a scholar .
73873	business	up	gave	5	5	4	4	3	3	In 1892 he gave up business to devote himself to the twin causes of free trade and land value taxation .
75863	practice	up	gave	13	13	10	10	9	9	In 1892 U'Ren suffered a severe asthma attack and gave up his law practice .
76894	presidency	up	gave	6	6	4	4	3	3	In 1893 he gave up the presidency of the Grand Trunk Railway Company .
78973	sea	up	gave	11	11	9	9	8	8	In 1894 , aged 36 , Conrad reluctantly gave up the sea , partly because of poor health and partly because he had become so fascinated with writing that he had decided on a literary career .
79090	direction	up	gave	7	7	5	5	4	4	In 1894 , Antoine gave up the direction of his own theatre , and became connected with the Gymnase , and two years later , with the Od e on theatres .
79407	painting	up	gave	6	6	5	5	4	4	In 1894 , Eckmann gave up painting -LRB- and auctioned off his works -RRB- in order to concentrate on applied design .
80582	status	up	gave	22	22	20	20	19	19	In 1894 , Llandovery was one of ten clubs who became affiliated to the Welsh Rugby Union , but gave up this status in 1910 .
80651	duty	up	give	14	14	10	10	9	9	In 1894 , Morita Kanya XII was forced to give up his theater management duty .
80835	name	up	gave	11	11	5	5	4	4	In 1894 , Rudolf gave up his princely title and family name , receiving at his request the title of Freiherr von Troskow from the Emperor Franz Joseph .
83892	management	up	gave	18	18	16	16	15	15	In 1907 Sykes was adopted as the Conservative candidate for Knutsford and a year later gave up the management of the Edgeley Bleachworks , while remaining director of the Bleachers ' Association .
85899	career	up	gave	7	7	5	5	4	4	In 1908 , Florath gave up his career in office and went to Munich-Schwabing , to devote himself entirely to acting .
86878	alcohol	up	gave	11	11	10	10	9	9	In 1908 her husband had a throat operation and gave up alcohol for almost seven years , and this was the start of Aino ' s happiest years .
88967	territory	up	give	25	25	22	22	21	21	In 1908 , the organization of the province of Ifugao further reduced the area of Nueva Vizcaya which was forced to give up its northwest territory .
89726	career	up	gave	13	13	10	10	9	9	In 1909 , after a serious injury , he gave up his professional career and left America for London where he became the landlord of a public house .
92298	career	up	gave	13	13	11	11	10	10	In 1909 she met and married her first husband and gave up her career to raise their daughter .
