sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
6253	debate	quit	5	5	3	3	IMHO , Farix quit the debate because it was tiringly long , and because his anti-spoiler side was losing the philosophy debate as summarized in my post .
11671	Lovin	Quit	4	4	3	3	I Might Ever Quit Lovin ' You '' is a single by American country music artist Mark Chesnutt .
15462	football	quit	4	4	3	3	In 1895 he quit football to concentrate on his cricket career .
33651	job	quit	5	5	3	3	In 1886 he quit his job , purchased the necessary land , materials and machines , and built the Glenfiddich Distillery with the help of his 9 children .
36009	business	quit	8	8	5	5	In 1887 , he abruptly quit the piano business to `` serve the Lord .
36422	job	quit	6	6	4	4	In 1887 , he quit his job with Watkins and opened his own land company -LRB- some sources claim Knapp started his company in 1885 , but the evidence is inconclusive -RRB- .
40687	career	quit	8	8	5	5	In 1902 , Roda Roda quit the military career and became a journalist -LRB- during World War I he was war correspondent -RRB- ; he contributed to `` Simplicissimus '' .
49890	job	quit	12	12	10	10	In 1888 , at the age of thirty-one , Hubbell quit his job as a manager of a manufacturing company and founded Harvey Hubbell , Incorporated in Bridgeport , Connecticut , a company which is still in business today , still headquartered near Bridgeport .
51751	site	quit	12	12	10	10	In 1888 the club received notice from the Government to quit its site at Circular Quay and secured another site on the western side of Woolloomooloo Bay between Mrs Macquarie ' s Chair and the Domain Baths , where the headquarters of the Club remained until 1947 .
52505	job	quitting	17	17	15	15	In 1889 , after the death of his parents , Pareto changed his lifestyle , quitting his job and marrying a Russian , Alessandrina Bakunin .
52656	practice	quit	5	5	3	3	In 1889 Appel quit the practice of law for good and moved to a farm in Nerang , at Glencoe , where he both farmed and operated a dairy .
54341	science	quit	28	28	25	25	In 1889 Salmon received the Copley Medal of the society , the highest honorary award in British science , but by 1889 had long ago quit mathematics and science .
62171	business	quit	7	7	4	4	In 1899 , he quit the newspaper business and began working for Ainslee ' s Magazine , a magazine that also employed his wife , who was by that time a successful illustrator and who brought in a good deal of the household income .
66009	medicine	quit	5	5	4	4	In 1900 , he quit medicine to concentrate in literature .
72951	service	quit	6	6	4	4	In 1891 , Yuri quit government service , moved to Kyoto , and founded the Yurin Seimeihoken K .
74989	firm	quit	16	16	3	3	In 1892 Sarah quit her teaching job and started working in her father ' s law firm .
110920	school	quit	17	17	16	16	In 1906 , at the age of 14 , he was forced by family circumstances to quit school and go to work as a printer ' s devil for the Pawnee City Republican .
114987	position	quit	10	10	7	7	In 1907 , Appachcha was able to quit his supervisor position and devote himself to the arts .
116563	music	quitting	5	5	4	4	I ' m not quitting music or doing anything crazy like getting a real job , but not having TBS as the focus has freed me to pursue other musical interests I ' d been only casually interested in until now .
119465	basketball	quit	12	12	11	11	I ' m not sure he was serious , but I quit basketball and went off on a mission for two years .
130104	service	quit	7	7	4	4	In 1917 he temporarily quit the diplomatic service to succeed his uncle Julius von Soden as head of the royal W u rttemberg government .
130384	position	quit	22	22	19	19	In 1917 , he was named professor at the University of Vienna , Fabiani however refused the offer , quit the teaching position in Vienna , and decided to settle in Gorizia , which had been annexed to the Kingdom of Italy , thus becoming an Italian citizen .
132297	company	quit	13	13	11	11	In 1917 , the Ruiz family sold the company and Jimenez quit the company .
134201	corps	quit	35	35	23	23	In 1918 he graduated from the Ecole Nouvelle in Chailly near Lausanne , and entered the E cole Polytechnique in Paris , but quit and volunteered to serve in the Russian army ' s expedition corps .
134206	team	quit	14	14	12	12	In 1918 , he had an argument with manager John McGraw and quit the team in the middle of the season .
139000	service	quit	15	15	13	13	In 1919 , he became surgeon and served till 1922 , when he quit government service to set up private practice at Kensington Nursing Home on Poonamallee High Road .
144102	post	quit	6	6	4	4	In 1924 , he quit his post at the Bureau of Commerce and began his law practice as an assistant attorney in the law office of then-Senator Alejo R .
149513	post	quit	5	5	3	3	In 1925 he quit the post in order to focus on composition .
150484	company	quit	27	27	25	25	In 1925 , Krannert started his own business , the Inland Container Corporation , in Indianapolis with six employees , all of whom had also quit the company in Anderson .
163034	party	quit	29	29	26	26	In 1921 , in response to the New Economic Policy -LRB- NEP -RRB- , which he viewed as signaling the end of the revolution , Gerasimov quit the Bolshevik party .
163944	job	quit	6	6	4	4	In 1912 , he quit his job to become the personal assistant of the politician Casimir Perrier .
172549	opera	quit	11	11	10	10	In 1914 due to progressing deafness Davydov was forced to quit opera but continued to perform , singing popular songs and romances .
174295	job	quit	6	6	4	4	In 1914 , Lambert quit his job as a chemist in Buffalo , New York , to go enlist in the Royal Regiment of Canadian Artillery .
178801	job	quit	13	13	11	11	In 1926 , Pyle tired of working at a desk and quit his job .
190517	party	quitting	18	18	16	16	In 1922 , in the wake of the devastating drought and famine of 1921 and after quitting the party , Platonov abandoned journalistic and literary work entirely to work on electrification projects and conduct land reclamation work for the Voronezh Provincial Land Administration and later for agencies of the central government .
193709	post	quit	8	8	5	5	In 1923 , Bedia Muvahhit quit her teacher post , and devoted herself to an acting career .
199031	job	quitting	33	33	31	31	In 1915 at the age of sixteen , he was elected as one of the first Indonesian members of the Union of Train and Tramway Personnel -LRB- VSTP -RRB- , soon quitting his job as a railway worker to become a trade union activist full-time .
203195	company	quit	14	14	11	11	In 1916 , Clements proposed that no worker be allowed to quit a railway company or urge others to do the same until the Commission had the opportunity to investigate the matter in a fair and equitable manner .
205221	course	quit	7	7	4	4	In 1916 , Roth quit his university course and volunteered to serve in the Imperial Habsburg army fighting on the Eastern Front in the First World War , `` though possibly only as an army journalist or censor .
207121	school	quit	7	7	6	6	In 1917 at age 11 Jones quit school .
210482	job	quit	6	6	3	3	In 1928 he quit his journalistic job and devoted himself full-time to writing fiction .
210483	service	quit	5	5	3	3	In 1928 he quit the service and became a test pilot with the Polish PZL aviation works in Warsaw .
220185	job	quit	6	6	4	4	In 1910 , Evreinov quit his job at the Ministry of Railways to take the helm as producer , dramatist , and composer of the False Mirror Theatre in Saint Petersburg .
224648	football	quit	7	7	6	6	In 1911 , Bamford decided to quit football in order to continue his career as a schoolteacher .
226116	job	quit	26	26	24	24	In 1911 he was granted a pension from the Society of Friends of Ukrainian Scholarship , Literature , and Art that enabled him to quit his job and solely concentrate on his writings , but he was already in poor health and died only two years later .
228507	job	quit	34	34	32	32	In 1911 , while in London , the sudden death of his patron , the Maharaja , and subsequent withdrawal of financial support for his cultural and comparative-historical studies forced him to quit his job and reconsider his philosophical beliefs .
237586	series	quit	27	27	25	25	In 1945 , when East Side Kids producer Sam Katzman refused to grant Leo Gorcey ' s request to double his weekly salary , Gorcey quit the series , which ended immediately .
238457	school	quit	9	9	8	8	In 1946 at the age of 17 he quit school and went to work for the Gulf Oil Co .
239892	firm	quit	7	7	4	4	In 1946 he finally quit the law firm as he was appointed as the district stipendiary magistrate of Tana District Court .
240429	u	quit	28	28	4	4	In 1946 , he quit from the RPP and formed the Democratic Party together with Celal Bayar , Adnan Menderes and Mehmet Fuat K o pr u l u .
242742	job	quit	6	6	4	4	In 1942 , Vandersteen quit his job at L'Innovation and started working at the Landbouw - en Voedingscorporatie -LRB- a government organisation for the agricultural sector -RRB- , where he illustrated some magazines .
249671	army	quit	10	10	8	8	In 1944 he came back to Greece and quit the army having the rank of Colonel .
256869	soccer	quit	14	14	13	13	In 1948 played a few games in Ruch ' s jersey , then quit soccer and became a coach .
261144	habit	quit	10	10	4	4	In 1949 General Eisenhower quit his 4-pack a day cigarette habit .
272695	position	quit	6	6	3	3	In 1947 Sweezy quit his teaching position at Harvard , with two years remaining on his contract , to dedicate himself to full time writing and editing .
278026	band	quit	9	9	7	7	In 1974 , Ronnie Drew decided to quit the band , to spend more time with his family .
285485	job	quit	6	6	4	4	In 1975 , he quit his job to start Microcomp .
288780	job	quit	6	6	4	4	In 1972 , Lee quit his job as an engineer to play drums for a country-rock cover band called Asian Wood .
290311	drinking	quit	4	4	3	3	In 1972 she quit drinking , returned to her studio , reorganized her company and went on to choreograph ten new ballets and many revivals .
290971	group	quit	16	16	14	14	In 1972 , the band signed a contract with Warner Music Group but Balavoine quit the group .
295035	job	quit	6	6	4	4	In 1973 , Benatar quit her job as a bank teller to pursue a singing career after being inspired by a Liza Minnelli concert she saw in Richmond .
299328	band	quit	5	5	3	3	In 1985 they quit the band and started a new , It ' s Alive , together with among others Max Martin -LRB- then known as Martin White -RRB- as their singer and frontman .
301470	sumo	quit	13	13	12	12	In 1986 , at the age of 24 , he decided to quit sumo and joined AJPW upon an offer from owner Giant Baba .
303025	show	quit	16	16	14	14	In 1986 , Francis Bell became unhappy with his role as Max Ramsay and quit the show .
303171	band	quit	18	18	16	16	In 1986 , Gilmour and drummer Nick Mason issued a press release stating that Waters had quit the band and they intended to continue without him .
304775	service	quit	6	6	3	3	In 1986 he quit his military service for four years , to serve as a doctor for the civilian population in Afghanistan exposing himself to high risk .
304776	position	quit	5	5	3	3	In 1986 he quit his position in order to work as an attorney-at-law .
306750	smoking	quit	24	24	23	23	In 1986 , it would be marketed , unsuccessfully , by Advanced Tobacco Products , as medical device for people who wanted to quit smoking .
320431	cold-turkey	quit	6	6	4	4	In 1983 , he quit drinking cold-turkey .
320433	appointment	quit	6	6	3	3	In 1983 he quit the teaching appointment and , living on saved funds , he began to write .
323645	band	quit	6	6	4	4	In 1983 , Rothe quit the band , and Twynham left soon after .
327200	school	quit	6	6	4	4	In 1983 , Ueda quit high school at age 18 , and went to Tokyo by invitation of Kenzi who was a senior at the school .
329009	job	quit	6	6	4	4	In 1987 , he quit his job and moved to Nashville to pursue a career as a song writer .
329010	party	quit	7	7	4	4	In 1987 , he quit the Congress party to join V .
333409	job	quit	7	7	4	4	In 1987 , she quit her teaching job after 22 years , and founded Parents For Rock And Rap an anticensorship counterweight to Tipper Gore ' s PMRC .
339573	dancing	quit	7	7	6	6	In 1956 , Campbell decided to quit dancing and become a singer .
339836	business	quit	9	9	5	5	In 1956 , Diane Arbus quit the commercial photography business .
341181	army	quit	6	6	4	4	In 1956 , he quit the army and became a full-time journalist , During the 1960 talks in Brussels on Congolese independence , the U .
343611	business	quit	6	6	4	4	In 1956 , she quit show business after marrying Julius Stulman , a New York lumber and shipping tycoon , that year .
343797	Opry	quit	8	8	4	4	In 1956 , Smith quit the Grand Ole Opry .
348673	job	quit	6	6	4	4	In 1957 , he quit his job to join politics .
349615	business	quit	7	7	4	4	In 1957 , Isola quit the music business after about 15 years of activity .
349916	position	quit	5	5	3	3	In 1957 Kenney quit his position , choosing to work as a full-time freelance artist .
352838	job	quit	6	6	4	4	In 1941 , he quit his job and enlisted with the Delaware National Guard regiment .
352839	club	quit	5	5	3	3	In 1941 he quit the club after being dropped to the reserves side .
354690	job	quit	6	6	4	4	In 1941 she permanently quit her job at Disney to devote more time to her children .
356217	studio	quit	7	7	4	4	In 1941 , Uchida quit the Nikkatsu studio , and after failing to start his own production company , in 1943 began to work with the Manchukuo Film Association , although he never completed a film there .
356247	job	quitting	14	14	12	12	In 1941 , van Vogt decided to become a full-time writer , quitting his job at the Canadian Department of National Defence .
357315	school	quit	5	5	4	4	In 1942 , Chavez quit school in the seventh grade .
358594	army	quit	6	6	4	4	In 1942 , he quit the army to become the director of the Italian press ; he continued in that role until 1943 .
358595	university	quit	5	5	4	4	In 1942 , he quit university and joined the Burma Independence Army in Prome as an officer .
359767	job	quit	7	7	4	4	In 1942 , Max quit his day job as a reporter and city editor for the Modesto Bee .
377390	production	quitting	8	8	5	5	In 1940 , after abruptly quitting a Broadway production of a play by Ernest Hemingway , she starred in two major films , both loan-outs to other studios .
378722	job	quit	6	6	4	4	In 1940 , Granville quit his job and moved to Portsmouth , Virginia , and then he relocated to New York .
390668	industry	quit	16	16	13	13	In 1967 , she married , taking the name Shirley Vedder , and quit the music industry , eventually becoming the CEO of a chain of racquetball and sports fitness clubs .
390713	paper	quit	5	5	3	3	In 1967 she quit the paper and travelled to Vietnam to cover the escalating war .
397160	teaching	quit	5	5	4	4	In 1968 , he quit teaching and left for London to read law at the Inner Temple .
397283	life	quit	11	11	9	9	In 1968 , he resigned from all positions and quit public life .
404230	post	quit	6	6	4	4	In 1964 , he quit his post with the UN and was appointed to the position of Director of the Research Division of the OECD Development Centre in Paris , where he remained until 1967 .
405762	job	quit	7	7	4	4	In 1964 , King quit his Congressional job to concentrate on his writing , producing many magazine articles and fourteen books of both fiction and non-fiction , and became one of the leading figures in the `` New Journalism .
409827	road	quit	6	6	4	4	In 1964 , Young quit the road to settle in Hawaii , occasionally emerging for jazz parties and special appearances .
412871	conservatoire	quit	6	6	4	4	In 1965 , he quit the conservatoire and went to Tbilisi to lead the `` Orero '' musical ensemble .
412872	industry	quit	7	7	4	4	In 1965 , he quit the film industry and went to the United States , via a travelling grant from Syracuse University in New York .
413232	mill	quit	37	37	17	17	In 1965 , he was appointed as a first-division clerk in the social welfare department but he quit the job and moved to Shikaripura where he joined as a clerk at Veerabhadra Shastri ' s Shankar rice mill .
413570	concentrate	quit	9	9	6	6	In 1965 he was ready to quit swimming and concentrate on his university studies when he decided to compete in one more open water championship , this time the 38-mile Sante Fe-Coronda Marathon .
423087	job	quit	16	16	13	13	In 1966 , Lifton was dismissed from UCLA for neglecting his studies and quit his aerospace job , devoting all his time to the Kennedy assassination .
432669	activity	quit	6	6	4	4	In 1961 he amicably quit his activity in the SI , still fully supporting its contents and goals , and continuing to support it financially , but believing that the new strategy of the SI was ineffective .
436782	job	quit	18	18	14	14	In 1969 Bukowski accepted an offer from Black Sparrow Press publisher John Martin and quit his post office job to dedicate himself to full-time writing .
438954	council	quit	6	6	3	3	In 1969 he quit the city council and was elected to the Knesset on the Gahal list -LRB- Gahal being a coalition between the Liberal Party and Herut -RRB- .
439482	job	quit	19	19	16	16	In 1969 he was awarded a Queen Elizabeth II Art Council grant and in 1970 he quit his day job as an art teacher to became a professional printmaker and painter .
442389	job	quit	5	5	3	3	In 1969 Squires quit his job at the Telegram and returned to Newfoundland .
445415	league	quit	23	23	21	21	In 1970-71 , the team faced their first relegation , but was able to stay in the First Division as Jardines quit the league in the following season .
450828	job	quit	7	7	4	4	In 1930 , Pratt quit his newspaper job to take the helm as executive director of the Association of Real Estate Taxpayers -LRB- ARET -RRB- , an organization of real-estate taxpayers in Chicago and Cook County .
460961	job	quit	17	17	13	13	In 1934 , he was enrolled in a Jewish school but had to quit and take a job as a shop attendant .
462348	career	quit	9	9	6	6	In 1934 , she attempted to quit her newspaper career and become a fiction writer .
473623	shipping	quit	28	28	27	27	In 1932 , the Detroit and Charlevoix was abandoned , and the East Jordan and Southern followed suit in fall 1961 after the East Jordan Iron Works quit shipping by rail .
476820	job	quit	6	6	4	4	In 1933 , he quit his job to devote his attention to drama , becoming a student with Okamoto Kido and Hasegawa Shin .
480766	coaching	quit	6	6	4	4	In 1957 , Sauer quit full-time coaching to work in his father ' s real estate business , but he continued to work through the rest of the 1950s and into the 1960s as a scout for the Rams and Minnesota Vikings and an assistant offensive and defensive coordinator for the College All-Stars .
483339	job	quit	14	14	11	11	In 1957 , while still working on wuxia serializations , he quit his previous job and worked as a scenarist-director and scriptwriter at the Great Wall Movie Enterprises Ltd and Phoenix Film Company .
484439	band	quit	8	8	4	4	In 1958 , Buddy quit Tubb ' s band and moved to California .
484499	group	quit	7	7	4	4	In 1958 , Carter quit the Klan group he had founded after shooting two members in a dispute over finances .
492177	tennis	quitting	23	23	21	21	In 1951 he was at the center of a controversy that resulted in Dick Savitt , reigning US singles champion , quitting competitive tennis at the age of 25 after Shields snubbed him by failing to let Savitt play for the U .
497031	baseball	quit	5	5	4	4	In 1952 , Crawley quit baseball and went on to attend California State University , where she earned a bachelor ' s degree .
498387	college	quit	4	4	3	3	In 1952 he quit college while working on his Bachelors of Science degree and instead plunged into the uncertain world of films in Bombay .
500279	job	quit	6	6	3	3	In 1952 , quit his construction job and made carving his full-time profession .
502309	job	quit	11	11	9	9	In 1954 , Loew acquiesced to the Vatican and quit his job ; he then established the Saints Peter and Paul Mission to Workers , which trained priests from among the working class .
502502	job	quit	14	14	12	12	In 1954 , much to his father ' s disappointment , Hugh quit his job at APM and left Melbourne with his new wife Shirley and took up a writing role for The Cadbury Show that would run for over 300 episodes .
515275	identity	quit	14	14	11	11	In 1950 , after learning the truth , Terrill vowed to quit his Ray identity .
516267	architecture	quit	7	7	3	3	In 1950 Dolci quit his very promising architecture and engineering studies in Switzerland at the age of twenty-five , gave up his middle class standard of living and went to work with the poor and unfortunate .
527574	position	quit	56	56	53	53	In 1959 , knowing that the Lakers team was going to be moved to Los Angeles -LRB- after being purchased by Bob Short , the team moved in 1960 -RRB- and despite having rookie sensation and future Hall of Famer Elgin Baylor on the team , Kundla chose to stay in Minnesota and quit the Lakers position to coach his alma mater , the University of Minnesota .
528603	singing	quit	4	4	3	3	In 1959 she quit singing , except for gospel music .
