sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
62999	construction	postponed	21	21	19	19	In 1899 , Qing government and Britain agreed to construct the Kowloon-Canton Railway -LRB- KCR -RRB- , but Britain postponed the construction as she was busy at the Second Boer War in Africa .
161923	work	postpones	12	12	10	10	In 1921 , he ends his collaboration with Richter and postpones his work on Horizontal-Vertikal-Messe .
200307	career	postponed	24	24	21	21	In 1915 he was elected to a Brakenbury scholarship in History at Balliol , but during the First World War he postponed his university career to join the Royal Flying Corps , serving as a mechanic and motorcycle despatch rider .
200872	bid	postpone	25	25	23	23	In 1915 , Lyon made a bid for the 1920 games , but after some discussion , they agreed to support Antwerp and postpone their bid until 1924 if Antwerp was liberated in time to organise the games .
237606	surrender	postpone	32	32	30	30	In 1945 , when Japan surrendered , Chiang ' s Chongqing government was ill-equipped and ill-prepared to reassert its authority in formerly Japanese-occupied China , and asked the Japanese to postpone their surrender until Kuomintang -LRB- KMT -RRB- authority could arrive to take over .
564159	retirement	postponed	25	25	22	22	In 1976 , Douglas quarreled at the national NAACP convention in Memphis , Tennessee , with executive director Roy Wilkins , who postponed his planned retirement from the organization by an additional year .
708078	concert	postponed	6	6	4	4	In 2005 , they postponed a concert in Spain to go lend support to Jose Bove and La Conf e d e ration Paysanne .
742970	tour	postponed	6	6	3	3	In 2005 Nixon postponed her California tour due to an illness in the family .
752029	appearance	postpone	15	15	13	13	In 2006 , she was forced , due to an injury , to postpone an appearance in a short film being shot in London by writer-director Tim Biddiscombe .
762732	site	postponed	18	18	5	5	In 2005 the festival was postponed due to Hillingdon council renovation work at the Fountain ' s Mill site .
793232	honeymoon	postponed	6	6	4	4	In 1988 , she postponed her honeymoon with second husband Orlando Moraes in order to play Maria de F a tima , Regina Duarte ' s daughter and antagonist , in Vale Tudo .
884938	payment	postpone	34	34	33	33	In 1992 Rasmussen resigned from his ministerial posts after a report from a commission of inquiry had decided that he had provided the Folketing with inaccurate and incomplete information regarding his decision to postpone payment of several bills from Regnecentralen and Kommunedata from one accounting year to the next .
895116	game	postponed	9	9	5	5	In 2004 , Hurricane Charley postponed a Tampa Bay game against Cincinnati from Saturday until Monday .
906611	weekend	postponed	13	13	9	9	In 2005 , 2007 , and 2008 they were postponed until Labor Day weekend because of the endangered Piping Plover , which were nesting on the beach nearby .
952987	construction	postponed	26	26	25	25	In 2003 a trainlink bus service was introduced from Epping to South Morang meeting every train , but the 2005 Meeting Our Transport Challenges plan postponed construction of the railway until 2021 .
961375	construction	postpone	81	81	80	80	In 2004 , plans were approved to supplement it with a complex of three more related buildings , to be known as the People ' s Lodge , which was Bernie Whitebear ' s final dream project before he died of cancer in 2000 However , in 2006 , after agreements had been reached between the tribes , the city and nearby residents to reduce the originally-planned size to one all parties agreed to , a decision was made to postpone construction indefinitely for lack of funds .
1004945	construction	postponed	15	15	13	13	In 1989 the Government issued the Airport Core Programme plan , and further postponed the construction of the East Kowloon Line for the reason of `` insufficient distribution of resources '' .
1020723	arrival	postponed	17	17	15	15	In 1994 , American Eagle Flight 4184 encountered heavy air traffic and poor weather that postponed the arrival of this flight at Chicago ' s O'Hare International Airport , where it was to have landed en route from Indianapolis , Indiana .
1032002	celebration	postpone	11	11	9	9	In 1988 the seniors who just graduated had to postpone their celebration at Grad Nite at Disneyland because the busses mistakenly went to San Marcos High School in San Marcos in San Diego County .
1096541	aging	postpones	6	6	5	5	Increased activity of caretaker genes postpones aging , increasing lifespan .
1105009	removal	postpone	31	31	27	27	In conjunction with traders such as the Ewing brothers , Godfroy and Richardville were able to wrest much larger payments for land ceded by treaty and to postpone the Miamis ' removal longer than that of most other midwestern tribes .
1194933	time	postponing	19	19	16	16	In a unique defense , Kai Lung recites his beguiling tales to the Mandarin , successfully postponing his conviction time after time until he is finally set free .
1204026	discussion	postpone	32	32	30	30	In cases when the overall consensus seems to lean towards `` delete '' yet enough uncertainty exists such that the consensus may be doubted , it is often safest to postpone the discussion to give all parties time to re-evaluate their initial impressions .
1235707	vote	postpone	18	18	17	17	In both cases , the message should be dated and should be handled as a sort of postpone vote for deletion .
1254836	release	postponed	7	7	5	5	In August 2010 , Valve postponed the release to February 2011 , with a Steam release date of February 9 , On April 1 , 2011 , Valve released another alternate reality game called the Potato Sack .
1259583	election	postponing	20	20	17	17	In August , a federal judge in San Jose announced that he was considering issuing an order postponing the recall election .
1260385	use	postpone	24	24	21	21	In August he and Br e ton traveled together to London , where they tried to convince the British government to postpone the first use of tanks until the French tanks were ready .
1263847	event	postponed	23	23	21	21	In Berlin the event developed into one of the three biggest international music b2b events , until the organizing Popkomm GmbH postponed the event in 2009 for one year due to reclining revenues .
1288047	deletion	postponing	9	9	8	8	In any way , I would again recommend postponing deletion of this article until we see whether -LRB- 1 -RRB- the article will have stand-alone value or -LRB- 2 -RRB- solves the current conflict .
1323926	series	postpone	18	18	14	14	In April 2007 , snow storms in northern Ohio caused the Cleveland Indians to postpone their home opening series against the Seattle Mariners and forced the Indians to find a different location for their home series against the Los Angeles Angels of Anaheim .
1328251	opening	postponed	11	11	9	9	In April 2009 , RFF was reported to have postponed the opening of the line to September 2010 , due to an unexpectedly harsh winter .
1413428	arrival	postpone	36	36	34	34	In a March 2008 article for Prospect magazine , Phillips was cool on Barack Obama as a potential Presidential candidate , and speculated that if he did become President of America it might `` postpone the arrival of a post-racial America '' .
1454971	conference	postponed	12	12	9	9	In an attempt to save face , the Bears postponed the news conference and issued a personal apology to McGinnis from the patriarch of Bears ownership , Ed McCaskey .
1463557	work	postpone	37	37	34	34	In August 1906 Bowman Malcolm reported to the Board that the full scheme would be too expensive , so he was authorised to proceed only to the ' Seven Sisters Caves ' and to postpone any further work .
1488193	ALCS	postponed	10	10	4	4	In a rainstorm that postponed Game Four of the 2003 ALCS later that night , the Patriots hosted the New York Giants .
1497046	section	postpone	20	20	17	17	In a similar logic that was shown when building the Kaluzhsko-Rizhskaya Line , it was decided to postpone the central section in favour of building the new radial line , however after the opening of the new Zhdanovskaya Line in late 1966 , the passenger traffic between it and the former Kaluzhskaya Line overstretched the capacity of the ring between Oktyabrskaya and Taganskaya .
1497821	target	postpone	23	23	21	21	In a similar way some Turkish Cypriots especially members of organisations such as TMT expressed their disappointment as they had to postpone their target for taksim , however most Cypriots that were not influenced by the three so called guarantor powers -LRB- Greece , Turkey , and Britain -RRB- , welcomed the agreements and set aside their demand for enosis and taksim .
1510362	development	postponed	8	8	6	6	In April 2010 , Osceola County postponed further development of the comprehensive plan due to the state opposition and the court litigation .
1513132	tour	postponed	9	9	6	6	In April 2011 , the band postponed their European tour until 2012 .
1544153	onset	postpone	6	6	4	4	In an effort to postpone the onset of peak phosphorus several methods of reducing and reusing phosphorus are in practice .
1544684	maintenance	postponing	39	39	37	37	In an effort to reposition its stores as focused on `` value '' , rather than time-tested formulas within specific markets that had worked for the chains , Hawkins slashed expenses by using generic grocery bags , postponing store maintenance and reducing benefits to employees as well .
1550598	construction	postponed	6	6	5	5	In 2009 , the college postponed construction due to lack of funds , with the outer shell of the hospital completed and the interiors remaining unfinished .
1569088	start	postpone	12	12	10	10	In addition , the Hebrew calendar has postponement rules that postpone the start of the year by one or two days .
1587651	policy	postpone	31	31	23	23	In 2012 the council filed an application in the High Court for a judicial review of various Government decisions in an attempt to postpone the Government ' s mixed ownership model policy of partial privatisation .
1598014	payment	postpone	17	17	16	16	In 2011 the Channel encountered financial difficulties and asked the Knesset ' s finance committee to postpone payment on a tax and royalty debt to the State .
1602589	exhibition	postponed	8	8	6	6	In 2011 , the Sackler indefinitely postponed an exhibition of artifacts from the Belitung shipwreck owing to possible collecting violations by the commercial organization which acquired the objects .
1644000	annexation	postponed	7	7	6	6	In addition , budget implications further postponed annexation of Eastgate with hopes of trying again in a year or two .
1727218	acknowledgement	postpone	13	13	12	12	In addition , creative accounting , which had allowed the company to postpone acknowledgement of its losses , began catching up with Orion .
1740775	convention	postponed	13	13	9	9	In 2009 , Wizard canceled the Texas event and postponed the Los Angeles convention .
1753470	video	postponed	39	39	37	37	In 2010 the FA aimed to shoot a video designed to discourage anti-gay hate-chants on the terraces , however , they reportedly could not find a player from the Premier League willing to endorse it and so postponed the video .
1768033	release	postponed	6	6	4	4	In 2011 , Bugatti postponed the release of the Royale to 2015 or later to refine the vehicle ' s design .
1768421	examination	postponed	6	6	4	4	In 2011 , CBSE postponed the examination by 2 .
1786865	age	postponing	41	41	37	37	In 2007 , the French government undertook a general review of its public policies -LRB- see French General Review of Public Policies -RRB- and one of the key proposals made in order to reduce government expenditure includes postponing the national retirement age .
1787806	start	postponed	7	7	5	5	In 2011 , Hurricane Irene postponed the start of the Hampton Classic three days .
1834978	plan	postpone	25	25	12	12	In 2009 Anchorage Metro Area Transportation Solutions -LRB- AMATS -RRB- decided to postpone the project and remove it from Anchorage ' s short term transportation plan until 2018 .
1840381	date	postponed	31	31	22	22	In 2000 , the Missouri PSC announced plans to add 975 as an overlay of the 816 area code , but soon postponed indefinitely the May 5 , 2002 , implementation date when the commission determined no immediate need for additional phone numbers .
1840382	date	postponed	35	35	26	26	In 2000 , the Missouri Public Service Commission announced plans to add area code 557 as an overlay of the 314 area code , but soon postponed indefinitely the May 5 , 2002 , implementation date when the commission found no immediate need for more phone numbers .
1845633	hike	postpone	9	9	6	6	In 2001 , after voting to postpone a toll hike and seeking to fire Bechtel , the general contractor of the Big Dig , Mihos was fired by Acting Governor Jane Swift , along with Director Jordan Levy .
1900861	education	postponed	19	19	17	17	In 1999 , right before the NATO bombing of Serbia , he returned to his homeland and postponed his education until the end of the aggression .
1936188	climate	postponed	23	23	15	15	In 2000 , plans to list Grupo Aval on the New York Stock Exchange were postponed due to Wall Street ' s unfavorable climate for emerging market funds .
1936189	climate	postponed	23	23	15	15	In 2000 , plans to list Grupo Aval on the New York Stock Exchange were postponed due to Wall Street ' s unfavorable climate for emerging market funds at the time .
1960050	Dreamscape	postponing	31	31	29	29	In 2008 , Dreamscape and Lanfear planned on performing concerts with each other , but lead vocalist Mischa Mang left the band to concentrate more on Ivanhoe , thus postponing the Dreamscape shows with Lanfear .
1986496	entrance	postponing	22	22	21	21	In 2012 , CBS ' s 60 Minutes attributed the recent trend of American parents `` redshirting '' their five-year-olds -LRB- postponing entrance -RRB- to give them an advantage in kindergarten to a section in Gladwell ' s Outliers .
2012537	time	postponed	54	54	51	51	In 2009 , IKCO announced that they will produce Samand with their new engine EFD in 2010 ; however , due to the required tests for the engine , readying the car for installing the engine on it and also lack of distribution the Euro IV diesel fuel in the country postponed the production time to 2011 .
2201442	marriage	postpones	32	32	30	30	Anxious to save his paper from financial ruin , editor Curtis Farwood -LRB- Paul Harvey -RRB- enlists the help of business manager Warren Haggerty -LRB- Keenan Wynn -RRB- , who postpones his marriage to Gladys Benton -LRB- Lucille Ball -RRB- in order to assist his employer .
2298785	production	postpone	62	62	61	61	Although the three nations agreed to a series of specific characteristics that the new tank should have , and both France and Germany began work on distinctive prototypes with the intention of testing them and combining the best of both , the program failed as Germany decided not to adopt the new French tank gun and France declared that it would postpone production until 1965 .
2298786	production	postpone	62	62	61	61	Although the three nations agreed to a series of specific characteristics that the new tank should have , and both France and Germany began work on distinctive prototypes with the intentions of testing them and combining the best of both , the program failed as Germany decided not to adopt the new French tank gun and France declared that it would postpone production until 1965 .
2300136	coup	postponed	10	10	8	8	Although the truce eventually broke down , it postponed the coup that eventually took place on 5 December .
2301161	order	postpone	22	22	14	14	Although the United States approved of the trial , an attempt was made to postpone , stay , or overturn the execution order .
