sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
11663	account	resuming	22	22	18	18	I might even venture to say that the community would prefer the continuity that comes from a person resuming their previously vanished account , rather than establishing a new one .
16104	surname	resumed	31	31	22	22	In 1895 , Lord Lovelace received for himself only Royal license to use the additional surname and arms of Noel , but resumed by Royal license , in 1908 , the surname and arms of King only for himself and his children .
17116	work	resume	9	9	7	7	In 1895 , the University decided to resume the work under the name Shiry o hensan-kakari , attached to the Faculty of Letters , limiting the role of the Historiographical Institute to compilation of historical materials , rather than the creation of a national history - - the role that the Institute has today .
21236	practice	resumed	26	26	24	24	In 1897 , Ellis was appointed First Assistant Corporation Council of the city of Cincinnati , until January 1 , 1903 , when he resumed private practice .
23520	place	resume	41	41	39	39	In 1897 , the VFL competition consisted of eight teams of 20 on-the-field players each , with no `` reserves '' -LRB- although any of the 20 players who had left the playing field for any reason could later resume their place on the field at any time during the match -RRB- .
23778	curatorship	resuming	15	15	14	14	In 1898-1902 he collected in Colombia for the American Museum of Natural History , resuming curatorship of the Carnegie Museum on his return .
24122	career	resumed	52	52	49	49	In 1898 , Bardswell played only in a couple of first-class matches for MCC against the Universities , but at the start of the 1899 season he reappeared for Lancashire , playing as captain in the first six games of the season , but standing aside when Archie MacLaren resumed his cricket career in June .
25125	practice	resumed	10	10	8	8	In 1898 he voluntarily retired from office and resumed the practice of law .
30702	practice	resumed	6	6	4	4	In 1885 , he resumed his practice in New York but resigned his teaching position .
32962	life	resuming	11	11	9	9	In 1886 , Best returned to New Zealand , resuming his life in the bush where he came into increasing contact with the M a ori , whose language he learned and culture he began to study .
33684	work	resumed	4	4	3	3	In 1886 he resumed work begun by Mariette to uncover the Sphinx , removing more than of sand and seeking tombs below it -LRB- which he did not find , but have later been found and left unopened -RRB- .
35096	name	resumed	8	8	5	5	In 1886 , the village resumed the original name , `` Horseheads .
37957	place	resume	41	41	39	39	In 1901 , the VFL competition consisted of eight teams of 18 on-the-field players each , with no `` reserves '' , although any of the 18 players who had left the playing field for any reason could later resume their place on the field at any time during the match .
39990	seat	resumed	10	10	8	8	In 1902 he was not re-elected , but resumed his seat in 1906 .
41397	total	resumed	9	9	7	7	In 1902 the Land Board sat and resumed a total of , split into at least 6 blocks , from the station area for other selectors .
41778	place	resume	41	41	39	39	In 1902 , the VFL competition consisted of eight teams of 18 on-the-field players each , with no `` reserves '' , although any of the 18 players who had left the playing field for any reason could later resume their place on the field at any time during the match .
43261	diary	resumed	33	33	31	31	In 1903 , he had already begun to keep a diary that recorded his own thoughts on philosophical and literary matter as well as those of his brother ; he later resumed this diary in Trieste .
43534	training	resumed	5	5	3	3	In 1903 he resumed his training , and graduated M .
44198	practice	resumed	18	18	16	16	In 1903 Julius Neubronner , an apothecary in the German town of Kronberg near Frankfurt , resumed a practice begun by his father half a century earlier and received prescriptions from a sanatorium in nearby Falkenstein via pigeon post .
45700	place	resume	41	41	39	39	In 1903 , the VFL competition consisted of eight teams of 18 on-the-field players each , with no `` reserves '' , although any of the 18 players who had left the playing field for any reason could later resume their place on the field at any time during the match .
48723	association	resumed	5	5	3	3	In 1904 she resumed her association with Barrie , touring in his Little Mary .
49339	teaching	resumed	7	7	5	5	In 1887 , the university resumed medical teaching in its Faculty of Medicine .
49639	work	resume	17	17	16	16	In 1888 a British company that employed James Henry Greathead as a consulting engineer attempted to resume work on the Hudson tubes , but they too were unsuccessful in completing them and were also out of funds by 1891 .
53564	practice	resumed	9	9	8	8	In 1889 he returned to Victoria , and resumed practice at the local Bar .
54011	practice	resumed	6	6	4	4	In 1889 Judge Greene resumed the practice of law , and in 1890 formed a partnership with L .
55321	name	resume	13	13	10	10	In 1889 , while the first and last chance to resume the city name by citizens was given as a vote , it was violated and the result was 50-50 to Fukuoka -LRB- 福 岡 市 -RRB- or Hakata -LRB- 博 多 市 -RRB- .
56162	practice	resumed	6	6	4	4	In 1890 , Hare resumed the practice of law in Washington , D .
60724	place	resume	41	41	39	39	In 1898 , the VFL competition consisted of eight teams of 20 on-the-field players each , with no `` reserves '' -LRB- although any of the 20 players who had left the playing field for any reason could later resume their place on the field at any time during the match -RRB- .
62206	duty	resumed	5	5	3	3	In 1899 he resumed his duty as Chief of the General Staff and served as such until 1905 .
62230	work	resumed	17	17	15	15	In 1899 he returned to the University of Kansas as assistant professor of chemistry and resumed his work with liquid ammonia in collaboration with Franklin , carrying out a thesis consisting of a study of concentration cells in this solvent .
