sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
17976	use	afforded	21	21	18	18	In 1896 , Delos and Herbert Smith brought their commercial fishing business to Port Washington as that harbor afforded them the use of a steam powered fish tug .
23802	fee	afford	30	30	28	28	In 1898 , a 14-mile , steam-operated aerial tramway was constructed up the Skagway side of the White Pass , easing the burden of those prospectors who could afford the fee to use it .
44850	status	afforded	14	14	11	11	In 1903 the 5 regiments were renumbered 55 to 59 and afforded the crack status of `` Rifle Regiments '' .
64070	salary	afford	13	13	10	10	In 1899 , when the Clemson Athletic Association could not afford a coaching salary , Riggs again took over the reins , one of only two Clemson football coaches to return to the position after stepping down .
71551	hospital	afford	27	27	24	24	In 1891 it became known as the Lewis and Clark County Hospital , with a focus on providing care for those who could not afford a private hospital , which was a major problem in the days before Social Security , especially for those without children to provide assistance .
72594	Regiment	afforded	20	20	5	5	In 1891 the regiment was afforded the prestigious title of a Rifle regiment and became 5th Gurkha -LRB- Rifle -RRB- Regiment which was shortened to 5th Gurkha Rifles in 1901 .
141965	entry	afforded	26	26	24	24	In 1923 , Vera Bate Lombardi , -LRB- born Sarah Gertrude Arkwright -RRB- , reputedly the illegitimate daughter of the Marquess of Cambridge , afforded Chanel entry into the highest levels of British aristocracy .
159438	support	afford	33	33	29	29	In 1920 , the Local Education Authority decreed that teachers ' salaries should be increased and the Director of Education wrote to the Governors saying that he could not afford the ever-increasing financial support to the school .
174240	education	afford	56	56	53	53	In 1914 , Julia Grant provided a financial bequest , originally anonymous , that provided the funds for establishing Regis High School , a Jesuit high school in New York City that , following her instructions , provides a free education for Catholic boys with special consideration given to those who can not afford a Catholic education .
178097	right	affording	27	27	11	11	In 1926 , however , the Balfour Declaration was passed , affording every British dominion within the British Empire equal rank and bestowing upon them their own right of direction of foreign issues .
186840	opportunity	afforded	16	16	14	14	In 1921 the factory was severely damaged by fire , but the subsequent rebuild afforded the opportunity to expand the factory .
198256	curator	afford	7	7	4	4	In 1914 they could afford a paid curator .
258193	car	afford	29	29	27	27	In 1948 , the film was banned in the Soviet Union -LRB- USSR -RRB- by Joseph Stalin because of the depiction that even the poorest Americans could afford a car .
262911	opportunity	afforded	19	19	16	16	In 1949 he won the Quebec government study grant Prix d'Europe as a pianist , which afforded him the opportunity to study several years in Paris -LRB- 1949-1955 -RRB- .
263702	story	afford	19	19	17	17	In 1949 , movie producer Frederick Stephani was looking to make a baseball movie but could not afford the story of an established star .
271135	education	afforded	26	26	24	24	In 1947 , it was formally separated from the YMCA and the educational home to large numbers of World War II veterans who were afforded an education under the G .
339140	education	afford	21	21	19	19	In 1956 an Urdu Medium School was opened to impart education to those of the area who could not afford any education at all .
356324	kind	afford	33	33	31	31	In 1941 , when Chan was 16 , her mother arranged her to marry an elderly Chinese Singaporean harbor contractor to become his fourth wife , as her boyfriend could not afford the kind of dowry that was expected .
394836	luxury	afford	23	23	32	32	In 1968 , Bennett sought a comeback in the Democratic gubernatorial primary on the theme that Winthrop Rockefeller had become `` an expensive luxury which the state of Arkansas can no longer afford , '' a reference to state financial shortfalls .
403224	right	afforded	27	27	25	25	In 1968 , when the United Methodist Church was formed from the Methodist Church and the Evangelical United Brethren Church , Methodist women clergy were afforded the right of full connection .
438963	podium	afforded	18	18	11	11	In 1969 , her appearance at Woodstock in upstate New York afforded her an international musical and political podium , particularly upon the successful release of the documentary film Woodstock -LRB- 1970 -RRB- .
495373	insurance	afford	30	30	29	29	In 1951 , the three cable car lines owned by the private California Street Cable Railroad -LRB- Cal Cable -RRB- were shut down when the company was unable to afford insurance .
495374	insurance	afford	18	18	17	17	In 1951 , the three Cal Cable lines were shut down when the company was unable to afford insurance .
528029	recognition	afforded	20	20	17	17	In 1959 , on the eve of independence , the state despaired of stamping Kimbanguism out and afforded it legal recognition .
529643	autonomy	afforded	12	12	11	11	In 1959 , the Holy Synod of the Serbian Orthodox Church afforded autonomy to the Orthodox Church in the-then Socialist Republic of Macedonia as the restoration of the historic Archbishopric of Ohrid , and it remained in canonical unity with the Serbian Church under their Patriarch .
531592	view	afforded	14	14	12	12	In 1960 a new watch room was constructed at Point Blunt which afforded a view of the entire San Francisco Bay .
540775	nanny	afford	10	10	8	8	In 1936 , the family was able to afford a nanny to attend to the children while Bolduc toured .
544988	fare	afford	19	19	17	17	In 1937 he won 22s 6d in a professional fight at Leichhardt , which allowed him to afford a fare to Port Kembla where he was apprenticed as a bricklayer .
581765	continuum	afforded	55	55	53	53	In 1976 , the New Jersey legislature passed the Alcoholism Treatment and Rehabilitation Act -LRB- ATRA -RRB- , which declared that the public policy of New Jersey was that `` alcoholics and intoxicated persons may not be subjected to criminal prosecution because of their consumption of alcoholic beverages , but rather should be afforded a continuum of treatment in order that they may lead normal lives as productive members of society .
582701	rent	afford	24	24	22	22	In 1976 , things took a turn for the worse as the lease on the shop was trebled and Ernie could not afford the rent .
600316	opportunity	affording	25	25	23	23	In 1963 , he left Nsukka to assume the position of West African Representative of Cambridge University Press at Ibadan , a position affording the opportunity to travel frequently to the United Kingdom , where he attracted further attention .
631778	representation	afford	36	36	32	32	In 1979 Nicholson , following on the efforts of Arthur Chaskalson in Johannesburg , founded the Durban chapter of the Legal Resources Centre -LRB- LRC -RRB- to assist those who could not afford advice or legal representation .
640594	Coup	afford	9	9	6	6	In 1977 , Isuzu decided to afford the 117 Coup e a facelift , which resulted in replacing the previous front fascia with four round headlights with more modern one with rectangular lights -LRB- keeping their number -RRB- .
641564	opportunity	afforded	10	10	7	7	In 1977 , Nash ' s job afforded her the opportunity to become one of the journalists to view the remains of Elvis Presley .
693346	property	afford	22	22	21	21	In 2006 , Leeds City Council , York City Council and Harrogate Borough Council established a programme aiming to help people afford property in the area .
715110	protection	affording	63	63	57	57	In 2006 , a Presidential Proclamation established the Papahanaumokuakea Marine National Monument , which incorporated the Northwestern Hawaiian Islands Coral Reef Ecosystem Reserve , the Midway Atoll National Wildlife Refuge , the Hawaiian Islands National Wildlife Refuge , and the Battle of Midway National Memorial , thus creating the largest marine protected area in the world and affording the Hawaiian monk seal further protection .
720279	opportunity	afford	25	25	23	23	In 2006 Duggan and Ian MacGregor founded the Just Go Harder Foundation to create scholarships for children who would not be able to afford the opportunity to be part of skiing and cycling clubs .
734190	treatment	afford	9	9	6	6	In 2005 he was able to afford further medical treatment , deep brain stimulation , after extensive fund-raising by his friends in the music industry .
779990	protection	afforded	9	9	4	4	In 1984 it was afforded Grade II Listed Building protection .
795380	upkeep	afford	14	14	9	9	In 1988 , the local council could no longer afford the building ' s upkeep and it was boarded up .
844196	opportunity	afforded	11	11	8	8	In 1997 Rutenberg received a Fulbright Fellowship which afforded him the opportunity to spend a year in Ireland .
867383	opportunity	afforded	15	15	11	11	In 1995 , the Adult Degree Completion Program -LRB- ADCaP -RRB- afforded adult learners the opportunity to get a post-secondary education in the evening at an accelerated pace .
924320	Group	afforded	30	30	23	23	In 2002 , the National Gallery of Canada staged a major exhibition of his work , giving Thomson the same level of prominence afforded Picasso , Renoir , and the Group of Seven in previous years .
969562	care	afford	22	22	20	20	In 2004 the hospital took the route to help improve the health and well being of patients who can not afford health care .
979298	insurance	afford	42	42	40	40	In 1991 , John Polk , the head of the organization at the time , spoke out against mandates for employers to provide health insurance , arguing that such mandates hurt small employers since those businesses were least able to afford health insurance .
1015166	power	afforded	6	6	4	4	In 1993 Technikons were afforded the power to award certain technology degrees .
1067244	protection	afford	23	23	21	21	In 1986 , the United States Congress passed the Electronic Communications Privacy Act -LRB- ECPA -RRB- , which was intended to afford privacy protection to electronic communications .
