sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
13256	list	mind	5	5	3	3	I might not mind the list so much , and would actually want it to stick around if it was not for these points , which make me want to just get rid of this instead of keeping it around .
49524	daughter	mind	40	40	38	38	In 1887 , when he was the pastor of the Independent Presbyterian Church in Savannah , he caused a stir by publicly declaring that he favored mixed -LRB- black and white -RRB- schools and that he would not mind his daughter being seen walking with an African American or even marrying one .
1015810	unification	mind	43	43	40	40	In 1993 , the city ' s central plaza , `` Pia t a Libert a t ii '' -LRB- Liberty Square -RRB- , was renamed `` Pia t a Unirii '' -LRB- Unification Square -RRB- , to call to mind the 1918 unification of Transylvania and Romania .
1141241	mapping	mind	4	4	3	3	In contrast to mind mapping , group concept mapping represents multiple ideas and it has a less flexible and more structured process .
1195042	control	mind	15	15	14	14	In a universe where many alien races have powerful telepathic abilities , and even mind control is possible , thought screens can be a valuable asset .
1218121	coeducation	mind	26	26	25	25	In China Muslim Hui and Muslim Salars are against coeducation , due to Islam , Uyghurs are the only Muslims in China that do not mind coeducation and practice it .
1220937	crucifixion	mind	20	20	18	18	In Christianity , the Christian cross is frequently used on graves , and is meant to call to mind the crucifixion of Jesus .
1240588	death	mind	16	16	11	11	In both versions , Johnnie freely admits that he would not mind the general ' s death because he expects Lina to inherit quite a substantial fortune , which would solve their -LRB- i .
1299638	side	mind	32	32	29	29	In a 1999 review of Willoughby ' s self-titled solo album , Don Yates of KEXP-FM described his `` Beatlesque songcraft '' as `` bring -LSB- ing -RSB- to mind the starker side of Elliott Smith .
1301730	flow	mind	33	33	30	30	In applications where the thermoelectric effect may become important , care has to be taken -LRB- for example -RRB- to mount the resistors horizontally to avoid temperature gradients and to mind the air flow over the board .
1349052	delaying	mind	14	14	11	11	In a Gallup poll , many indicated that they did not mind the tape delaying for the nighttime window .
1361131	worship	mind	29	29	40	40	In a few early episodes of the series , Balki is shown as having a crush on Susan , and he would throw himself at her feet almost in worship of her , which Susan did not necessarily seem to mind and she seemed to find Balki to be a sweet person .
1463256	dancing	mind	20	20	17	17	In `` An Ocean Above '' , Joseph once again uses a slower cadence that brings to mind a `` dancing but gentle ocean washing over your skin '' .
1474524	control	mind	18	18	17	17	In August 2003 , Erdi s claimed responsibility for his crimes and attributed his actions to `` mind control '' , seeking help from the Forensic Medicine Institute in Turkey .
1587011	something	mind	7	7	13	13	In 2012 the character was axed , something which Peter Mochrie did not mind as he felt he was `` coasting '' throughout his final year and was missing his onscreen family .
1616419	act	mind	36	36	33	33	In addition , he has attributed part of the impetus for violent games to the military , saying that it was looking `` for a way to disconnect in the soldier ' s mind the physical act of pulling the trigger from the awful reality that a life may end .
1968270	audacity	mind	11	11	8	8	In a blue-collar sports town which does not mind a little audacity in its underdogs , the previously well-liked shortstop has seemingly achieved cult-hero status - - with no small credit to his MVP-caliber play at the plate and in the field .
2059363	NPOV	mind	28	28	27	27	And look , there are some subjects that are just hard for the Wikipedia to cover , and that need to be handled with extra care to mind NPOV , and this is one of them .
2070280	sight	mind	10	10	7	7	And now , whenever I call to mind my first sight of Lessingham in that little daleside church so many years ago , I think of Nanga Parbat .
2081095	band	mind	12	12	8	8	And I said , ' Dino , never mind a cheap English band , we ' ll have Herbie Hancock .
2083214	case	mind	9	9	6	6	And , it also brings to mind the Fritzl case in Austria .
2083489	importance	mind	6	6	4	4	And it brings to mind the importance of transparency in a relationship .
2089834	saturation	mind	22	22	20	20	And , the article suggests that ad agencies believe that as long as ads are entertaining , people may not mind the saturation .
2118676	business	mind	5	5	3	3	And people could mind their business if they were not drug through the mud by other editors .
2170222	fish	mind	5	5	4	4	And I do not mind fish that much .
2185095	damage	mind	12	12	11	11	Any contact adhesive will serve your purpose if you do not mind damage to your suede , leather and microfibre , but that ' s not what you asked .
2286514	answer	mind	14	14	11	11	And , as such , I did not think he would mind the smartass answer .
2292784	time	mind	7	7	5	5	And btw Wgungfu would you mind next time to sign your comment as anonymous comments create disorder .
2329364	article	mind	9	9	7	7	And for the record I would not mind an article on a different club in the town .
2342898	bit	mind	6	6	4	4	And Cookie does not mind a bit .
2366512	chemistry	mind	34	34	30	30	An attempt was made during the promotional phase of the film ' s release to sell Belushi and Brown as `` the new Hepburn and Tracy '' , calling to mind the gutsy creative chemistry and double-act performances of those yesteryear actors .
2508217	business	mind	5	5	2	2	And they mind their own business , as usual .
2516597	behaviour	mind	22	22	20	20	And to make it clear , this comment should be taken as a formal caution from the case clerk to mind your behaviour in the course of discussion of the case .
2522137	one	mind	57	57	55	55	And yes , I am aware of Wikipedia regarding copyright and being more strict than general copyright law , but what I was trying to say is that not all photos containing such trademarks are treated equally -LRB- whether considered free or non-free , only one would make sense , and I actually do not mind which one -RRB- .
2638091	advice	mind	28	28	24	24	Another reason I am raising this here is that I am nearly finished a rewrite and expansion here of the article and would not mind some input and advice .
2658555	business	mind	13	13	10	10	Anthony directs vague hostility towards me , saying I should mind my own business .
2695321	feeling	mind	19	19	17	17	Another touching thought is that seeking forgiveness at the moment of triumph arouses in one ' s mind the feeling of impotence and imperfection at a time when an attitude of self-esteem and conceit seems natural .
2732052	background	mind	14	14	12	12	Annette , who was a shy girl growing up , did not mind singing background behind Gloria Williams , then the original lead singer of the group .
2782828	preacher	mind	22	22	18	18	An Introduction , authors Michael Campbell and James Brody suggested that `` Redding ' s singing calls to mind a fervent black preacher .
2900957	business	mind	10	10	7	7	Angrily , she told Viv to either mind her own business or buy her out .
2925899	job	mind	22	22	13	13	Angela -LRB- Brigit Forsyth -RRB- , Simon ' s mother , does not mind the ethical implications surrounding her son ' s job as long he has a steady occupation .
3095897	fact	mind	24	24	22	22	Ah , maybe that explains why they have not given any indication of having seen the user talk page message -LRB- never mind the fact that the orange bar is gone -RRB- .
3269005	self	mind	17	17	15	15	Islamic Republics basically keep a similar concept of a fake self-declared republic which brings to mind the self declared Arab republics .
3277387	absence	mind	4	4	2	2	I slightly mind the absence of edit summaries , but that would be hypocritical .
3396420	business	mind	81	81	78	78	After going back to school on Monday , Naomi tells Blanca about what happened , and with that Blanca , now worried about the frightening mood swings and threats Skyla makes to Naomi and Owen , tells Naomi that she needs to wake up before something bad happens , since Naomi did not know for sure if Skyla was really going to drink the beer , but Blanca informed her that Skyla would not have told her to mind her own business if the beer was just for Clive .
3463140	proverb	mind	12	12	8	8	After Black 3 , White 4 brings to mind the well-known go proverb , `` hane -LRB- bend -RRB- at the head of two stones '' .
3562137	business	mind	17	17	14	14	After a few days , the Half Moon Bay police chief tells her to mind her own business , but reconsiders when the next bodies are found .
3688854	3RR	mind	6	6	5	5	Abdul has been reminded to mind 3RR in the future , even when dealing with disruptive editing .
3938352	era	mind	25	25	21	21	According to No Ripcord ' s James McKenna , `` Stay '' mixes soul and jazz elements , `` bringing to mind Low End Theory era A Tribe Called Quest and Tupac ' s Me Against the World , and lyrics `` questioning the line between love and hate '' .
3946230	gap	mind	33	33	31	31	According to the Independent on Sunday , sound engineer Peter Lodge , who owned Redan Recorders in Bayswater , working with a Scottish Telefunken engineer , recorded an actor reading `` mind the gap '' and `` stand clear of the doors please '' , but the actor insisted on royalties and the phrases had to be re-recorded .
3963935	fire	mind	28	28	26	26	According to Roon , the God of Going , `` There are a thousand home gods , the little gods that sit before the hearth and mind the fire - - there is one Roon .
3994537	campaign	mind	27	27	35	35	According to Regino of Pr u m , whose chronology is horribly inaccurate , Louis was defeated by the Bretons in 836 , but it is the campaign of 824 which he probably has in mind .
4036602	information	mind	26	26	24	24	According to this view , when we see or think of a concept a mental representation or schema is `` activated '' bringing to mind other information which is linked to the original concept by association .
4053206	castle	mind	18	18	13	13	A classic example of armoury design , Mewata has features deliberately bringing to mind a medieval fortress or castle , including four square corner towers , four smaller six sided towers , and buttresses with turrets and a crenellated roofline .
4122312	garden	mind	24	24	22	22	According to Delaney , a woman from California said to him , `` Joe , for the love of God , never mind your garden .
4158095	transmission	mind	10	10	9	9	According to Borup the emphasis on ' mind to mind transmission ' is a form of esoteric transmission , in which `` the tradition and the enlightened mind is transmitted face to face '' .
4221237	region	mind	19	19	16	16	A concept that has no real consistency even within a single Latin American country , never mind the whole region .
4369299	transparency	mind	14	14	12	12	Conservatives -LRB- or right of center folk , etc -RRB- do not mind the transparency .
4442169	atmosphere	mind	18	18	16	16	Despite complimenting Rihanna for sounding extremely relaxed and calling her vocal as `` luxurious calling to mind the atmosphere '' , Elan concluded that the over-all effect is underwhelming .
4514418	sister	mind	15	15	13	13	Despite Tom and Bertie ' s dislike of Agatha , Dahlia does not mind her sister and even goes so far as to invite her to Brinkley Court , over Tom ' s objections .
4546516	wikiquette	mind	7	7	5	5	By the way , please mind your wikiquette .
4696167	premise	mind	13	13	10	10	Delete , ad , unencyclopedic , possible vanity -LRB- never mind the dodgy premise of the book -RRB- .
4817318	kind	mind	3	3	9	9	Depends on what kind of transmission you have in mind .
4874674	fact	mind	28	28	26	26	David Zydrko of IGN described it as `` a must-have package for fans of arcade-style action games '' , adding , `` if you do not mind the fact that it ' s a very short game , you owe it to yourself to add this game to your collection '' .
4914853	bloatware	mind	15	15	12	12	D card there are few laptops in Japan more expensive , never mind all the bloatware .
4916262	gap	mind	5	5	3	3	DC do not mind the gap after twenty eight years .
4946340	place	mind	7	7	5	5	Day , who tried to mind her place and be more of a team player given her standings with her team and the Trumps .
5207245	c	mind	15	15	12	12	Describing the lover as `` ruddy '' -LRB- -RRB- again brings to mind David -LRB- c .
5274363	button	mind	14	14	11	11	Current web designers that know what they are doing do not mind the back button at all .
5354314	page	mind	5	5	3	3	Dell_UltraSharp_2405FPWI do not mind a page per SERIES of hardware produced by Dell , but a page for every product ever made by Dell seems a bit excessive , and even non sensical .
5354316	page	mind	5	5	3	3	Dell_UltraSharp_3007WFPI do not mind a page per SERIES of hardware produced by Dell , but a page for every product ever made by Dell seems a bit excessive , and even non sensical .
5408665	duty	mind	8	8	6	6	Darcy tells Amanda that he will mind his duty , implying he will marry Elizabeth .
5486900	m	mind	18	18	11	11	August 2005 -LRB- UTC -RRB- asked me if I would not mind nominating him , which I ' m happy to do .
5761123	formatting	mind	23	23	21	21	Beamer so far , and was so pressed for time that I was glad to get the contents right , never mind the formatting .
5811570	lawyering	mind	18	18	15	15	Battle position in regards to me , would not even need a comment , never mind your wiki lawyering warning on my talkpage - A English Wikipedia behavioral guideline .
5979380	world	mind	37	37	35	35	At the very core of the nomination is the story itself , and its small , regional , insignificant , notable only to a part of a country not even to an entire region never mind the world .
6040481	bit	mind	10	10	8	8	Ban if you must , I do not mind a bit .
6217337	imprisonment	mind	11	11	10	10	Bacon ' s use of these frames has brought to mind imprisonment with many critics , and Adolf Eichmann ' s glass cage during his 1961 trial is a common reference .
6389867	risk	mind	26	26	24	24	Autobiography , as one who either shares a surname with the subject , or has a sufficiently single-minded interest in him as to not mind the risk of being confused with a relative .
6409884	adventure	mind	10	10	7	7	A very homely sort who does not mind the odd adventure .
6436355	park	mind	14	14	12	12	A volunteer group , Friends of Tompkins Square Park , did not mind the park in this state .
6550937	control	mind	10	10	9	9	Back in Boston Walter believes the chips lead to mind control and tests this on the FBI agent assigned to him while Peter and Olivia are away .
6679829	hole	mind	29	29	27	27	During the performance of `` Billericay Dickie '' the audience break the venue ' s floor , presumably in excitement causing Dury to warn the audience to mind the hole as an introduction to `` Hit Me With Your Rhythm Stick '' and mention it repeatedly later in the set .
6723087	comment	mind	5	5	3	3	Actually , never mind the comment above , the ref -LRB- Doug Cameron -RRB- works now .
6723088	problem	mind	7	7	3	3	Actually , never mind the fair use problem , the images in question were speedied a long time ago .
6814088	FAC	mind	33	33	31	31	Also , I should note that I am going away from a week from tomorrow , though I have notified Eisfbnore and hopefully -LRB- s -RRB- he will be able to mind this FAC while I am away .
6830649	sugar	mind	45	45	21	21	Although he still had the ship ' s computer for company , the exile evidently did not do Baxter ' s mind any good , as he steadily began to act more and more like a fly , being fascinated by bright lights , craving sugar , being unable to focus on complicated tasks , and not even being able to remember exactly who it was he wanted revenge on , or why .
6853481	rhythm	mind	13	13	11	11	Although a versatile and accomplished lead guitarist , Caddy did not mind playing rhythm on both tracks for the resulting single , the band bringing in their friend , Scottish guitarist Joe Moretti .
6869048	food	mind	10	10	6	6	Although fast food often brings to mind traditional American fast food such as hamburgers and fries , there are many other forms of fast food that enjoy widespread popularity in the West .
6917663	seed	mind	25	25	23	23	Although his mission had failed , he probably came back with a more dangerous idea , planting in the Nana Sahib ' s mind the seed of the Indian rebellion of 1857 .
6959746	act	mind	7	7	5	5	Although it vaguely brings to mind the act of jumping over bulls , the technique and the reasons for doing that remain obscure , a century after the discovery of the frescos .
7020678	number	mind	21	21	18	18	Also American deaf people would only form a small proportion of the total deaf people reading Wikipedia never mind the total number of readers .
7101043	flooding	mind	6	6	10	10	A lot depends on how much flooding you have in mind , and probably also the rate of flooding .
7264222	meaning	mind	16	16	20	20	Also the link to saga is to the disambig page so it is not clear what meaning you have in mind , and it should be explained a bit in the sentence anyway .
7269952	post	mind	17	17	14	14	Also , there are about 370 comments to the post in question , never mind the older post I cited above .
7284222	thought	mind	9	9	5	5	Also , this brings to mind a related MILHIST thought .
7297444	chemistry	mind	7	7	6	6	Also , while I do not mind chemistry I much prefer physics , so I need to know if such research can be more physics-based than chemistry-based .
7323056	opting-in	mind	5	5	4	4	Also , would you mind opting-in to X !
7371083	control	mind	5	5	4	4	Although this is not mind control , but rather preaching to the enemy so that they willingly convert sides .
7381584	ability	mind	9	9	7	7	Although Souta fought through Rei ' s mind read ability at first , Yuji used the memories of Souta during his times as spy to hinder his mind defense .
7384077	persona	mind	27	27	19	19	Although Sturr is the Irish American son of a local bank president , his fans do not seem to mind the `` I ' m Polish '' persona that he radiates .
7727485	reaction	mind	10	10	8	8	Also consider side reactions - one springs to mind - reaction of carbocation with alcohol to make ether .
7761330	vibrato	mind	13	13	8	8	Also a band like Third Day comes to mind , especially the Powell-like vibrato in the vocals .
8104030	expansion	mind	21	21	19	19	Again , I do not believe that all of the edits involved are awful , and I would not mind an expansion of POV ' s from the Satanic ritual abuse movement as long as they are attributed and balanced .
8113711	subject	mind	20	20	18	18	All I am asking is to have one person that is remotely interested in the sport , never mind the subject .
8189515	duty	mind	39	39	37	37	All Americans who are worthy the name feel an equal pride in the valor of those who fought on one side or the other , provided only that each did with all his strength and soul and mind his duty as it was given to him to see his duty .
8392738	business	mind	29	29	26	26	After I warned him that he would be blocked for any further incivility , he left this message for me , which essentially tells me to mind my own business as this conflict does not concern me .
8419361	use	mind	20	20	18	18	After the song ' s writer , Chrissie Hynde , said in a radio interview she did not mind the use of the song , an agreement was reached for an annual usage fee of one hundred thousand dollars to EMI , The Rush Limbaugh Show airs on a network of approximately 590 AM and FM affiliate stations throughout the United States .
8595575	intention	mind	29	29	36	36	Agalya being a pathi vrathai -LRB- one who never thinks of a man other than her husband -RRB- and a Devi bhakthai -LRB- devotee -RRB- , found out the intention that Indra was having in his mind and prayed to Devi to save her and make Indra realise his mistake .
8601413	ambulance	mind	20	20	18	18	Agatha made an unknown woman in bathroom and Antonia Antonia bag on a stretcher and later rose to mind an ambulance and took her to the outskirts of the city or rather almost to the outskirts of San Nicolas .
8702902	investment	mind	17	17	15	15	Alec convinced Newton and Ridley to appoint him as a temporary manager so he could mind his investment .
8880110	AfD	mind	9	9	7	7	Endorse deletion , not because I would mind an AfD too much , but because it would be a waste of time .
9047537	read	mind	9	9	8	8	Fair enough , Dave - - sorry to mind read .
9104858	business	mind	17	17	14	14	Finally , I stand by telling somebody - politely , mind you - to mind their own business .
9249911	spam	mind	41	41	40	40	Firstly , one that additionally puts an alert on a user ' s talkpage every time a speedy is declined or a page is deleted for a different reason immediately after the event occurs , for people who do not mind spam and want the instant feedback .
9327874	fallacy	mind	10	10	6	6	First , your comment brings to mind the perfect article fallacy .
9502115	release	mind	17	17	14	14	Finally , Dalton wrote that `` This is a fine debut that calls to mind the first release by an artist that shares some of the same ethnicity -LRB- Peters is of Mexican-French heritage -RRB- , who has gone on to bloom in her own way .
9578814	component	mind	6	6	3	3	Faroes come to mind -RRB- the component entities are individually addressed .
9611276	governance	mind	12	12	10	10	Fascinating choice and major work needed - climate springs to mind , governance historically -LRB- nations ancient to modern -RRB- , as well as a summary and discussion of the indian continental plate .
9778108	precedent	mind	14	14	11	11	Extremely unlikely to be the subject of a source , never mind the growing precedent that no pricing game has shown any individual notability .
9788330	noise	mind	6	6	5	5	Families and Joggers do not mind noise , but Bookworms get very annoyed , and is a moderate dislike to other customers ; the Family ' s baby is always noisy when unhappy , unless he ' s in a highchair -LRB- in which case , he ' s only noisy if the family gets upset waiting for service -RRB- .
10068503	father	mind	26	26	23	23	John starts to train Jett for the swim carnival , leading Gina to think that he is trying to take Jett ' s mind off his father .
