sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
3172	war	anticipating	16	16	13	13	I ' m guessing because as he indicated in the summary he was anticipating a move war .
29812	bequest	anticipating	5	5	3	3	In 1885 , anticipating a bequest , the town council adopted an ordinance accepting the legacy in trust of Nehemiah to be set apart as a library fund for the city .
40431	number	anticipating	18	18	15	15	In 1902 , Maybach decided to incorporate a series of modifications to the Simplex , anticipating a large number of sales .
40801	abolition	anticipated	22	22	20	20	In 1902 , Sheng and British diplomat James Mackay negotiated and signed the Sino-British `` Mackay Treaty , '' which anticipated the abolition of extraterritoriality in China .
46302	market	anticipating	6	6	3	3	In 1904 , anticipating the growing market for motorcars , C .
64852	office	anticipating	7	7	3	3	In 1900 , anticipating a separate post office in the village , San Antonio de Embudo changed its name to Dixon after the Presbyterian missionary Dixon who established a mission there .
64853	demand	anticipating	5	5	3	3	In 1900 , anticipating high demand for coal , the extensive and coal rich lands of the Colorado portion of the Maxwell Land Grant near Trinidad in Las Animas County were purchased through its subsidiary , the Rocky Mountain Coal and Iron Company .
78446	day	anticipating	10	10	8	8	In 1893 the New Mexico territorial legislature , anticipating the day when the New Mexico Territory would achieve statehood , authorized the creation of a normal school at Las Vegas , New Mexico .
101806	bequest	anticipated	5	5	3	3	In 1882 Isabella anticipated a bequest , agreed upon with her sister Jane , and gave the British Museum a substantial collection of water-colours and woodcuts by her father , his brother John , and his son Robert , some of which had been exhibited in London in November and December 1880 .
133483	extension	anticipating	31	31	26	26	In 1918 Brittingham proposed a scheme to alleviate Melbourne ' s traffic congestion by constructing a bridge to extend Exhibition Street across the Jolimont railway yards anticipating the present Exhibitions Street extension by 80 years .
141354	value	anticipate	21	21	18	18	In 1923 , the Northern Rhodesian copper industry was little developed , and the British government did not anticipate their future value of these mineral rights .
166339	superstition	anticipated	8	8	7	7	In 1912 , the New York Times anticipated superstition surrounding the date April 11 , 1944 , Many uses of the term `` 4-11-44 '' occurred in later blues and jazz recordings ; practically without exception the phrase had nothing whatsoever to do with gambling , but rather with sex .
171335	arrival	anticipating	23	23	21	21	In 1913 , the town expanded with the addition of a hotel , a bar , and a general store , anticipating the arrival of Scandinavian lumber workers brought there by the Wyoming Tie and Timber Company the following year .
172869	defeat	anticipated	16	16	3	3	In 1914 he anticipated the outbreak of a European war , the Russian Empire ' s defeat by the Central Powers , and the Central Powers ' defeat by the western powers .
192999	radio	anticipating	26	26	22	22	In 1922 , WEAF broadcast what it later claimed to be the first radio advertisement -LRB- actually a roughly 10-minute long talk anticipating today ' s radio and television infomercials -RRB- which promoted an apartment development in Jackson Heights near a new elevated train line , -LRB- the IRT ' s Flushing-Corona line , now the number 7 line -RRB- .
204091	collection	anticipating	13	13	11	11	In 1916 , he reissued the poem of Vladimir Solovyov , anticipating the collection of biographical essays , the epigraph to his word , he puts the Croatian Bishop Josip Juraj Strossmayer `` Solovief Anima Candida , pia AC Vere sancta Est `` .
207021	need	anticipating	6	6	3	3	In 1917 , anticipating a massive need for military airplanes by the United States during World War I , six Dayton businessmen including Edward A .
221017	branch	anticipating	22	22	16	16	In 1910 he published Social mechanics , which used mathematics to explain social behaviour -LRB- somehow anticipating the fictional `` psychohistory '' branch of mathematics developed by Hari Seldon , the fictional character of Isaac Asimov ' s Foundation , published 40 years later -RRB- .
228950	move	anticipating	5	5	3	3	In 1912 , anticipating the move to the present campus in the Myers Park neighborhood , the school became Queens College .
244902	return	anticipated	25	25	23	23	In 1943 , her husband reportedly sued her for divorce , but dropped the charges as caused by a `` misunderstanding '' and anticipated her return from Detroit to his farm in Florida .
253811	declaration	anticipating	13	13	9	9	In 1948 , following the UN Partition Plan and anticipating Israel ' s declaration of independence , Arab troops blocked access to Hadassah Hospital and the Hebrew University campus on Mount Scopus , Jerusalem .
262112	study	anticipated	17	17	15	15	In 1949 he published a calculation of the lifetime of the neutral pion , which anticipated the study of anomalies in quantum field theory .
282717	sound	anticipates	20	20	18	18	In 1975 , an obscure rock band called Gekirin record a song called `` Fish Story '' that anticipates the sound of punk rock that ' s just beginning in New York and London .
347082	construction	anticipating	17	17	15	15	In 1957 , Camp Adair became Adair Air Force Station and SAGE Support Facility , anticipating the construction of a CIM-10 Bomarc launch facility .
354113	damage	anticipated	6	6	4	4	In 1941 , Manzoni anticipated the damage that would be caused by the Birmingham Blitz and , in October 1941 , announced the creation of four advisory panels within the council to focus upon Housing , Traffic , Redevelopment Areas and Limitation of the city .
364521	outbreak	anticipating	5	5	3	3	In 1938 , anticipating the outbreak of the Second World War , Fielding returned to England , and was commissioned into the 3rd The King ' s Own Hussars .
