sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
182001	life	abhorred	23	23	21	21	In 1927 he -LRB- and his brother -RRB- moved to the Netherlands and enrolled in the University of Leiden , but abhorred academic life and never completed his study at the Faculty of Arts .
1134754	violence	abhors	24	24	21	21	In contrast , Neil Burnside is a harried spymaster who does not drink ; Willie Caine is a secret agent who abhors guns and violence ; and no character is seen to have sex over the course of the series .
1176846	vacuum	abhors	12	12	10	10	In 350 BC , Greek philosopher Aristotle suggested that nature abhors a vacuum , a principle that became known as the horror vacui .
2082043	fascism	abhor	8	8	7	7	And I should note that while I abhor fascism and fascists , I never once voted up an attempt to delete their userboxes .
2186237	cause	abhor	7	7	5	5	Any decent person ought to abhor this cause .
2286154	imperfection	abhor	8	8	7	7	And , as previously indicated , I abhor imperfection .
2384193	Rex	abhorred	5	5	2	2	Ancient Romans abhorred the name Rex -LRB- `` king '' -RRB- , and it was critical to the political order to maintain the forms and pretenses of republican rule .
3020876	mysticism	Abhorring	4	4	0	0	Abhorring dogma and religious mysticism , Rational Dissenters emphasized the rational analysis of the natural world and the Bible .
3020877	consumption	Abhorring	2	2	0	0	Abhorring meat consumption , the Goode Family -LRB- whose car bumper also features the face of Che Guevara -RRB- force their dog Che to follow a vegan diet , which forces him to supplement his appetite by eating small creatures and neighborhood cats .
3020878	sentimentality	Abhorring	1	1	0	0	Abhorring sentimentality , he rejected the politics and poetics of cultural identity that held sway in Latin America for so long .
3020879	violence	Abhorring	1	1	0	0	Abhorring violence , swanmays will as soon fly away as attack .
3020890	tone	Abhor	3	3	0	0	Abhor the contentious tone in some of the 4 -LRB- !
3029524	vacuum	abhors	20	20	18	18	A beautifully-formed low-pressure system swirls off the southeastern coast of Iceland , illustrating the maxim that `` nature abhors a vacuum .
3117604	idea	abhorred	19	19	17	17	A joint assassination could be carried out during dinner ; this idea was abandoned as supporting officers abhorred the idea of shooting the unarmed tyrant .
3241910	violence	abhors	16	16	15	15	Ishaan is caught between a life steeped in violence and his love for Suman who abhors violence .
3272186	relationship	abhors	5	5	2	2	Islam vehemently abhors any intimate relationship outside the bond of marriage .
3513106	association	abhorring	25	25	23	23	After a bad reunion , where his mother becomes furious upon learning the details of her son ' s life with Tom , abhorring his association with the Jewish Zach among other things , she throws William against a bookcase , knocking him out .
3530407	use	abhor	18	18	15	15	Afghan engagement is quite unpopular among Germans , who tend toward pacifism and tend to abhor the non-defensive use of military power , again because of the Nazi past .
4025353	slavery	abhorred	12	12	11	11	Accustomed to roam at freedom among their own Hills , they abhorred slavery and pitied the slave .
4065946	thought	abhorred	8	8	6	6	According to Xenophon , the Spartans abhorred the thought of using the relationships as the basis of unit formation for placing too much significance on sexuality rather than talent .
4177720	anything	abhors	38	38	37	37	According to a National Geographic article , the novel is so revered in Monroeville that people quote lines from it like Scripture ; yet Harper Lee herself has refused to attend any performances , because `` she abhors anything that trades on the book ' s fame '' .
4399628	flooding	abhorred	5	5	2	2	Conservation groups abhorred the threatened flooding of the Yukon Flats , a large area of wetlands that provides a critical breeding ground for millions of waterfowl .
4624154	slavery	abhorred	3	3	2	2	Campbell himself abhorred slavery , and it was in fact the urge to make good the misdeeds of his own family that was the catalyst for his own reformist ideals .
4689637	uprising	abhorred	9	9	12	12	Delay could mean desperate men resorting to another failed uprising which he abhorred .
4780495	use	abhors	28	28	26	26	Despite being a criminal who is willing to steal from good or bad people , he shows a strong knowledge of right from wrong , and abhors the use of killing , operating on what would appear to be a strong moral code .
5024835	use	abhor	28	28	26	26	David McTaggart , Greenpeace ' s chairman , described the award as `` a great victory for those who support the right of peaceful protest and abhor the use of violence .
5512183	war	abhorred	5	5	4	4	Augusta , who clearly abhorred war , founded the National Women ' s Association in 1864 , which looked after wounded and ill soldiers and convened with Florence Nightingale for ideas .
5571314	idea	abhor	4	4	2	2	Austrians generally abhor the idea that anyone can predict anything in economics and treat modelling as cheap charlatanism -LRB- 6 -RRB- The mere fact someone edits from the same COUNTRY -LRB- 24 million people approx -RRB- is no ground for blocking .
5576440	toleration	abhorred	42	42	46	46	Author Everett Emerson wrote , `` the course of English history was a disappointment to him , for not only did the English reject his Congregational practices developed in America , but the advocates of Congregationalism in England adopted a policy of toleration , which Cotton abhorred .
5805838	matter	abhorred	3	3	1	1	Bayma abhorred continuous matter and upheld actio in distans .
6001380	leadership	abhors	27	27	29	29	At the same time , he rejects what he perceives as the orthodoxy of the traditional pro-independence movements , particularly the Puerto Rican Independence Party , whose leadership he abhors .
6827481	socialism	abhorred	9	9	3	3	Although he personally abhorred Italian fascism or German national socialism , he went on to support Marshal Philippe P e tain ' s Vichy regime .
6827482	socialism	abhorred	9	9	3	3	Although he personally abhorred Italian fascism or German national socialism , he went on to support the P e tain regime in Vichy .
6840525	attempt	abhorred	15	15	13	13	Although he has become something of a political legend , Donald would have abhorred any attempt to turn him into some kind of secular saint .
6861925	vacuum	abhors	28	28	26	26	Although Descartes views on this were challenged by Blaise Pascal , he declined to overturn the traditional belief , commonly stated in the form `` Nature abhors a vacuum '' .
6974908	treatment	abhorred	22	22	18	18	Although known as a formidable scholar and a man of exceptional character , he shunned the limelight and abhorred any reverence or treatment as a Rebbe .
7001122	nationalism	abhorred	15	15	12	12	All other European socialists learned the lesson of the Great War and abhorred the tribal nationalism that began to dominate continental Europe .
7426712	noise	abhors	6	6	4	4	Always remember that She abhors loud noise .
8398695	daughter-in-law	abhorred	18	18	31	31	After the dangerous stage of the condition , Ah Ho ' s grandmother is reconciled to her former daughter-in-law -LRB- Ah Ho ' s mother -RRB- , whom she had always abhorred , due to the fact that she -LRB- the daughter-in-law -RRB- had been very concerned on her mother-in-law ' s behalf and had assisted in sustaining her when she was on the verge of death , thus helping her survive .
8598063	ideology	abhorred	12	12	14	14	Agapetos angel where I was the sole defender of an editor whose ideology I abhorred .
8599165	glorification	abhorred	6	6	1	1	Agarkar abhorred blind adherence to and glorification of tradition and the past .
8673965	station	abhorred	6	6	2	2	Alfred Wainwright abhorred the old radio station -LRB- removed in the 1980s -RRB- in his book Pennine Way Companion .
8789724	rapprochement	abhorred	9	9	4	4	Albania ' s leaders abhorred the PRC ' s rapprochement with the United States in the early 1970s .
8878087	idea	abhor	9	9	7	7	Endorse closure It is understandable that editors abhor the idea of deleting articles on actors with whose work they are familiar .
9104962	community	abhors	8	8	20	20	Finally , it appears certain users within the community have formed cabals - - which the aforementioned statement of principles abhors .
9145189	vacuum	abhors	19	19	17	17	Following Galileo and Torricelli , in 1646 he refuted Aristotle ' s followers who insisted that nature abhors a vacuum .
10010169	prejudice	abhorred	9	9	7	7	Folkes was a noted atheist , and abhorred racial prejudice .
10073889	piracy	abhorred	6	6	5	5	John Stow said he utterly abhorred piracy ; Sir John Perrot entertained a different opinion of Carleill ' s views of piracy .
10396486	vacuum	abhors	21	21	19	19	He was driven to make a vacuum in order to disprove Aristotle ' s long-held supposition that ' Nature abhors a vacuum ' .
10396487	vacuum	abhors	19	19	17	17	He was driven to make a vacuum to disprove Aristotle ' s long-held supposition that ' Nature abhors a vacuum ' .
10631400	violence	abhorred	5	5	4	4	He said he `` abhorred violence '' and opposes terrorism .
10953294	schism	abhorred	5	5	4	4	He stated that he abhorred schism , and had never been present in any separate assembly but had always adhered to and communicated in his parish church .
11360267	theatre	abhorred	13	13	9	9	Her father was a strict Roman Catholic , who abhorred dancing and the theatre .
