3020877	consumption	Abhorring	2	2	0	0	Abhorring meat consumption , the Goode Family -LRB- whose car bumper also features the face of Che Guevara -RRB- force their dog Che to follow a vegan diet , which forces him to supplement his appetite by eating small creatures and neighborhood cats .
3020878	sentimentality	Abhorring	1	1	0	0	Abhorring sentimentality , he rejected the politics and poetics of cultural identity that held sway in Latin America for so long .
3272186	relationship	abhors	5	5	2	2	Islam vehemently abhors any intimate relationship outside the bond of marriage .
3513106	association	abhorring	25	25	23	23	After a bad reunion , where his mother becomes furious upon learning the details of her son ' s life with Tom , abhorring his association with the Jewish Zach among other things , she throws William against a bookcase , knocking him out .
5512183	war	abhorred	5	5	4	4	Augusta , who clearly abhorred war , founded the National Women ' s Association in 1864 , which looked after wounded and ill soldiers and convened with Florence Nightingale for ideas .
5571314	idea	abhor	4	4	2	2	Austrians generally abhor the idea that anyone can predict anything in economics and treat modelling as cheap charlatanism -LRB- 6 -RRB- The mere fact someone edits from the same COUNTRY -LRB- 24 million people approx -RRB- is no ground for blocking .
5576440	toleration	abhorred	42	42	46	46	Author Everett Emerson wrote , `` the course of English history was a disappointment to him , for not only did the English reject his Congregational practices developed in America , but the advocates of Congregationalism in England adopted a policy of toleration , which Cotton abhorred .
6001380	leadership	abhors	27	27	29	29	At the same time , he rejects what he perceives as the orthodoxy of the traditional pro-independence movements , particularly the Puerto Rican Independence Party , whose leadership he abhors .
6861925	vacuum	abhors	28	28	26	26	Although Descartes views on this were challenged by Blaise Pascal , he declined to overturn the traditional belief , commonly stated in the form `` Nature abhors a vacuum '' .
8673965	station	abhorred	6	6	2	2	Alfred Wainwright abhorred the old radio station -LRB- removed in the 1980s -RRB- in his book Pennine Way Companion .
8789724	rapprochement	abhorred	9	9	4	4	Albania ' s leaders abhorred the PRC ' s rapprochement with the United States in the early 1970s .
9145189	vacuum	abhors	19	19	17	17	Following Galileo and Torricelli , in 1646 he refuted Aristotle ' s followers who insisted that nature abhors a vacuum .
10010169	prejudice	abhorred	9	9	7	7	Folkes was a noted atheist , and abhorred racial prejudice .
10073889	piracy	abhorred	6	6	5	5	John Stow said he utterly abhorred piracy ; Sir John Perrot entertained a different opinion of Carleill ' s views of piracy .
10396487	vacuum	abhors	19	19	17	17	He was driven to make a vacuum to disprove Aristotle ' s long-held supposition that ' Nature abhors a vacuum ' .
10953294	schism	abhorred	5	5	4	4	He stated that he abhorred schism , and had never been present in any separate assembly but had always adhered to and communicated in his parish church .
11672732	slavery	abhorred	11	11	10	10	Although the Keats circle of London friends were liberals who abhorred slavery , George was obliged to hire slaves in his mill , due to the lack of available white labor .
12661438	prejudice	abhor	11	11	7	7	I fully support gay rights efforts and abhor the discrimination and prejudice they face daily .
13248672	idea	abhors	18	18	16	16	In 1806 , for example , one member of the Commons said , `` the Constitution abhors the idea of a prime minister '' .
13754317	Maintenance	abhor	14	14	11	11	In sum , I admire his pluck and energy , but abhor the High Maintenance and stress he seems to have inflicted upon other editors .
14379098	something	abhorred	19	19	22	22	In the Baltic , the power structure was completely different , with a German-descended nobility that used serfs , something that Charles abhorred and wanted to abolish but was unable to .
14684677	witchcraft	abhors	26	26	19	19	It believes in the curative effect of prayer for all afflictions , spiritual and temporal , but condemns and abhors the use of charms or fetish witchcraft or sorcery of any kind and all heathenish sacrifices and practices .
