sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
372	fact	appreciate	12	12	10	10	I ' m going to add this , because I appreciate the fact you are considering what I am writing .
1274	help	appreciate	23	23	22	22	I ' m going to have a pass at it , but I have done so before , so I ' d appreciate help .
1407	observation	appreciate	17	17	13	13	I ' m going to ignore the trolling , but I ' d appreciate some continued administrative observation .
2089	input	appreciate	16	16	12	12	I ' m going to sleep now , but I would greatly appreciate guidance and extra input on this , particularly with the mentions of judicial systems and Student Senates .
2262	anyone	appreciate	11	11	10	10	I ' m going to take a break but would appreciate anyone who feels up to it looking through the current talkpage and maybe the most recent archives to see if I ' m misreading this .
2283	input	appreciate	24	24	22	22	I ' m going to take a step back because I can feel my temper coming up a little , but would appreciate any input offered - even if it ' s that I ' m felt to be in the wrong .
2461	assistance	appreciate	22	22	21	21	I ' m going to try to clean it up and remove the obvious BLP violations , but I ' d appreciate assistance from someone familliar with Mexican politics who can provide reliable sources where required .
2605	help	appreciate	18	18	17	17	I ' m going to work on handling some of these now , but I ' d appreciate help .
4581	involvement	appreciating	14	14	10	10	I ' m having a great deal of difficulty in appreciating TreasuryTag ' s involvement in this situation .
5004	anyone	appreciate	17	17	14	14	I ' m having some difficulties with using Lagrangian multipliers correctly , and would appreciate any help anyone can give .
5260	assistance	appreciate	16	16	15	15	I ' m having trouble picking the paid puppets out from actual contributors and would appreciate assistance or advice .
5573	review	appreciate	18	18	16	16	I ' m here proposing an indefinite community ban of Ericsaindon2 , and I ' d appreciate a review by any administrators .
6972	input	appreciate	15	15	14	14	I ' m honestly not sure what the right move is here and would appreciate input from other users and admins .
7428	help	appreciate	32	32	30	30	I ' m hoping that I can stick it on all other language versions , but I ' ve never done anything like this before , so I ' d appreciate some help .
7576	feedback	appreciate	18	18	16	16	I ' m hoping this article is ok to go live soon , i ' d appreciate some feedback to let me know how it ' s looking .
7761	insight	appreciate	26	26	25	25	I ' m hoping to put it up for GA eventually , but I ' ve never gone through that process before , so would appreciate insight .
7795	input	appreciate	25	25	23	23	I ' m hoping to use the article as a template for other such articles down the line , so I ' d appreciate any input on any aspect of the piece .
8775	strength	appreciating	42	42	37	37	IMHO , this looks like a case where the person who may well be in the right made a mistake by hunkering down in a controversial area -LRB- or one involving strong vested interests -RRB- without fully appreciating the opposition ' s strength .
12277	check	appreciated	15	15	12	12	I might have made an error , though , so I would appreciated a double check .
26046	significance	appreciate	47	47	45	45	In 1898 , she wroteOnly those who have formed some idea of the besotted ignorance of the Korean concerning current events in his own country , and of the credulity which makes him the victim of every rumour set afloat in the capital , can appreciate the significance of this step and its probable effect in enlightening the people , and in creating a public opinion which shall sit in judgement on regal and official misdeeds .
46948	work	appreciated	5	5	3	3	In 1904 he appreciated the work of the mathematicians , who saved what he now called the `` principle of relativity '' with the help of hypotheses like local time , but he confessed that this venture was possible only by an accumulation of hypotheses .
56763	work	appreciated	23	23	25	25	In 1890 he visited Berlin and Amsterdam to acquaint himself with the ways of younger theologians , especially with the Ritschlians , whose work he appreciated but did not accept as final .
