sentence_id	n	v	v2	n_first_index	n_last_index	v_first_index	v_last_index	v2_first_index	v2_last_index	sentence_text
1279	water	stand	ca	20	20	18	18	16	16	I ' m going to have a water purifier even for a government tap , I ca not stand hard water , but I figure this makes it more complicated .
1878	way	stand	ca	22	22	20	20	18	18	I ' m going to remove it and leave some comments on the talk page - it just ca not stand the way it is right now .
8757	dissention	stand	ca	21	21	19	19	17	17	IMHO , this is the result of vested editors who believe they own the page , and ca not stand any dissention .
397253	Myself	Stand	Ca	27	27	26	26	24	24	In 1968 , he recorded a number of funk-oriented tracks with The Dapps , a white Cincinnati band , including the hit `` I Ca not Stand Myself -LRB- When You Touch Me -RRB- '' .
652848	Heat	Stand	Ca	15	15	13	13	11	11	In 1978 she contributed backing vocals to the album If You Ca not Stand The Heat by Status Quo .
841165	Pain	Stand	Can	31	31	28	28	26	26	In 1997 it was rereleased by Warner Brothers containing two additional songs - `` I Protest '' -LRB- by Wayne Carson -RRB- and `` A Man Can Only Stand So Much Pain '' -LRB- Mickey Newbury -RRB- .
842668	Rain	Stand	Ca	25	25	23	23	21	21	In 1997 , Missy Elliott recorded `` The Rain -LRB- Supa Dupa Fly -RRB- '' , an interpolation of `` I Ca not Stand the Rain '' , as the first single from her debut album , Supa Dupa Fly .
1141239	Rain	Stand	Ca	21	21	19	19	17	17	In contrast to Milward , he enjoyed Wilson ' s `` piercing version '' of `` I Ca not Stand the Rain '' .
1425730	Rain	Stand	Can	10	10	8	8	6	6	In addition to this , `` Can You Stand the Rain '' was sampled by Big Sean for his single `` My Last '' featuring Chris Brown .
2083560	test	stand	can	7	7	4	4	2	2	And it can always stand the boiling test !
2168316	citizen	stand	can	11	11	3	3	2	2	And I can stand here proudly and consider myself an international citizen .
2218664	sunlight	stand	can	19	19	17	17	16	16	Anton can prevent this by opening the curtains so he can prove he and his parents can stand the sunlight .
2306762	time	stand	can	9	9	7	7	6	6	And God , of course , can stand outside time , unlike matter .
2329212	party	stand	ca	11	11	7	7	5	5	And for the record I ca not stand the US republican party , which I equate to fascists in my own POV - defending republicans is not my thing .
2349233	sight	stand	can	11	11	9	9	7	7	Anderson , a former surgeon , now can not stand the sight of blood .
2590458	test	stand	can	11	11	9	9	8	8	An encyclopedia is supposed to reflect information that can stand the test of time , not jump on every scandal-wagon that swings by .
2609849	gaiety	stand	can	15	15	14	14	12	12	Among his teachings was a recommendation of music since `` the devil can not stand gaiety .
2619622	touchin	stand	can	11	11	10	10	9	9	And we ' re so by God stubborn we can stand touchin ' noses for a week at a time , and never see eye to eye .
2622820	chance	stand	ca	22	22	20	20	18	18	And when that happens , no amount of counter-propaganda will be able to stop it , because they ca not stand a chance against truth -LRB- not `` perceived '' truth which ' s basically lies disseminated as truth , but a well-documented and properly sourced truth -RRB- .
2657172	comparison	stand	can	25	25	24	24	23	23	Anthony Boucher received the novel unfavorably , describing it as `` slow and muddled '' and saying that `` Neither story nor science can stand comparison with Taine ' s best work .
3098595	tension	stand	ca	14	14	12	12	10	10	Ah Meng gets a hotel room , but Qi Yue ca not stand the tension and makes the trip back home to find her mother waiting for her .
3112225	upright	stand	can	26	26	25	25	23	23	Aja takes them to Zetlin ' s fantasy , where Zetlin resides in a massive building called the ' Barbican ' , which can either stand upright or on its side .
3122605	air	stand	can	6	6	4	4	2	2	A human can easily stand hot air at well above boiling temperature -LRB- try sticking your hand in an oven sometime -RRB- , but boiling water is another matter .
3583003	Rain	Stand	Ca	15	15	13	13	11	11	Adams recorded a version of Ann Peebles soul classic `` I Ca not Stand the Rain '' for the movie Town And Country , starring Goldie Hawn .
3599281	aging	stand	can	47	47	53	53	52	52	Adding the highest percentage of goat milk allows exceptionally long aging , even 10 years or more , although , due to the handcraft production being influenced by many different and little controllable factors , it ' s the dairyman ' s job to determine how long aging each single Bitto wheel can stand .
4322151	trial	stand	can	54	54	53	53	52	52	Constraints Imposed by Laws on Torture 8 September 2009 ; link from the United States Counter-Terrorism Training and Resources for Law Enforcement web site The procedure differs from extradition as the purpose of the rendition is to extract information from suspects , while extradition is used to return fugitives so that they can stand trial or fulfill their sentence .
4533868	racket	stand	can	22	22	20	20	17	17	By the time of The Curse of Monkey Island the cannibals have left Monkey Island as they can no longer stand the racket caused by LeChuck ' s Carnival of the Damned .
4732867	life	stand	can	6	6	5	5	3	3	Deciding that he can not stand life as a human , Pietro asks Black Bolt for permission to undergo Terrigenesis , exposure to the Inhumans ' power-granting Terrigen Mist .
4900931	mother	stand	ca	9	9	6	6	4	4	Deannie -LRB- McCormack -RRB- ca not stand her shrewish mother -LRB- Lynn Bari -RRB- constantly telling her what to do , runs away to Chicago and meets Loch -LRB- Ken Del Conte -RRB- , a musician who is just a tad possessive .
5076497	Pain	Stand	Ca	22	22	20	20	18	18	Dan Baird , except `` Red Light , '' which he co-wrote with Neill Bogan , and `` Ca not Stand the Pain , '' written by lead guitarist Rick Richards , who also takes lead vocal on the tune .
5373293	truth	stand	can	30	30	28	28	27	27	Democracy with us may be impossible and corruption inevitable , but these articles , if they have proved nothing else , have demonstrated beyond doubt that we can stand the truth ; that there is pride in the character of American citizenship ; and that this pride may be a power in the land .
5755293	Pain	Stand	Ca	20	20	18	18	16	16	B charts , and followed up with `` Make Love 2 Me '' and `` I Ca not Stand The Pain .
5755569	Rain	Stand	Can	18	18	16	16	14	14	B charts , only missing the top position to New Edition ' s `` Can You Stand the Rain '' .
6012983	fact	stand	can	30	30	12	12	10	10	At the place where he eventually takes them , Monk can not stand the presence of geckos on the walls , the sound of the bug zapper , or the fact that their table only has three chairs at it .
6562547	hunger	stand	can	33	33	31	31	29	29	Axel decides to keep the secret hidden from Professor Lidenbrock , afraid of what the Professor might do with the knowledge , but after two days without food he can not stand the hunger and reveals the secret to his uncle .
6649158	ground	stand	can	26	26	24	24	23	23	Do not be misled by the name ; this is a rompin ' , stompin ' , consistently swingin ' big band that can stand its ground in any company .
6777808	prosperity	stand	can	15	15	14	14	13	13	Adversity is sometimes hard upon a man ; but for one man who can stand prosperity , there are a hundred that will stand adversity .
6913513	ground	stand	can	5	5	3	3	2	2	Although it can stand its ground against the GN-XIII , it is no match for the newer Ahead .
6958699	ICBM	stand	can	15	15	13	13	11	11	Although it ' s not as tough as real bases and can not stand an ICBM , it is still durable and can hold several hits , especially missile attacks .
7363028	variation	stand	can	12	12	8	8	7	7	Although they are adaptive , living organisms can stand only so much variation , particularly if the fluctuations overlap both the freezing point and boiling point of the planet ' s main biotic solvent -LRB- e .
7364232	boss	stand	ca	6	6	4	4	2	2	Although they ca not stand their boss , they must work there .
7823840	thought	stand	can	21	21	19	19	17	17	After hitting Gianni with a saucepan one night , Jackie decides to end the relationship as she can not stand the thought of harming him .
7884279	Rain	Stand	Can	11	11	9	9	7	7	After they sang New Edition ' s Can You Stand The Rain for him , Bivins and everyone in attendance including other celebrities were impressed .
7919658	living	stand	can	10	10	7	7	6	6	After some time he no longer can stand the peaceful living with a woman in an idyllic environment .
7982741	presence	stand	can	17	17	15	15	13	13	After seeing a doctor , she starts to get annoyed by Damien and can not stand his presence .
8275119	contact	stand	can	60	60	57	57	55	55	After Ned Flanders sees Homer is depressed , Homer tells him about Roz , and is shocked to learn that Ned knew Roz back in Ohio ; they were part of the same Christian group , and when Ned gave her a congratulatory hug for winning a `` no-fun run '' he learned that Roz can not stand any physical contact .
8859010	heat	stand	ca	22	22	20	20	18	18	Editors -LRB- and editors who are also admins ; especially them -RRB- should go to Nannypedia if they ca not stand the heat .
9379018	Heat	Stand	Ca	17	17	15	15	13	13	Football , Fussbal , Voetbal ' -LRB- 1995 -RRB- , ' If You Ca not Stand The Heat ' -LRB- 1999 -RRB- , and ' River Cottage Forever ' -LRB- 2002 -RRB- .
9525959	series	stand	can	7	7	3	3	1	1	Fiction can be stand alone books or series .
9847627	father	stand	can	26	26	24	24	22	22	Ferdi actually comes from a rich family , but he ran away from home and lives simply in Jakarta , because he can not stand his father who is very strict .
9917267	flask	stand	can	29	29	27	27	26	26	Florence flask - A flask similar to the flat-bottomed flask that has round bodies and either a round bottom or a flat bottom so that one can stand the flask on a level surface .
10446840	comparison	stand	can	44	44	42	42	41	41	He was commissioned to decorate the cupola of the chapel of Saint Dominic in the Basilica of San Domenico in Bologna , between 1613 and 1615 , resulting in the radiant fresco St Dominic ' s Glory , a masterpiece that can stand the comparison with the exquisite Arca di San Domenico below .
10537315	phoniness	stand	can	18	18	17	17	15	15	He said that he likes to `` tell it like it is , '' and can not stand phoniness .
10580455	hypocrisy	stand	can	6	6	5	5	3	3	He says he can not stand hypocrisy in public life , and reserves a particular disgust for lying politicians , and watched with growing anger what he thought happened to the health service over the past 20 years .
10874808	pity	stand	can	24	24	22	22	20	20	He tries to get his old job as a janitor back , and tries to revert to normal but he can not stand the pity from his co-workers , landlady , and Ms .
11109336	counterpart	stand	ca	9	9	6	6	4	4	He tells Lister he ca not stand his spineless counterpart any longer and that there are a billion other realities to explore and maybe he ' ll meet a Rimmer even worse than the one he met aboard Red Dwarf .
