sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
1078049	influence	detested	27	27	31	31	In 727 , Theudebald expelled Pirmin , the founder of Reichenau Abbey , out of a hatred for Charles Martel -LRB- ob odium Karoli -RRB- , whose influence in Alamannia he detested .
1459440	actor	detested	33	33	30	30	In an interview with Melvyn Bragg in the early 1980s , the British actor Laurence Olivier said that Disney ' s Big Bad Wolf was supposedly based on a widely detested American theatre actor called Jed Harris .
1679756	format	detests	32	32	26	26	In addition to Rome , the behind-the-scenes personnel are frequently included in the show ' s content , though rarely with speaking roles , as Rome detests the `` morning zoo '' format .
2224932	way	detested	8	8	3	3	Antonioni , who detested the `` Method '' way of acting , sought to find a fresh young face for the lead in his next production , Blowup .
2309066	materialism	detests	23	23	26	26	And he fights against the historicity of Jesus Christ in the name of a religion of spirit , he contends against the religious materialism which he detests .
2316888	effort	detest	15	15	13	13	And I am prepared to do it here as well , though I detest the effort to completely delete the word `` womb '' from numerous Wikipedia articles where it has coexisted with the word `` uterus '' for years , without any fuss at all .
2324548	organization	detests	8	8	5	5	And even though Kazuma thoroughly detests the HOLY organization , even very early on , he was a former student of current HOLY member Straight Cougar , to whom Kazuma still refers to as his `` big brother '' ; though this is more of a nickname , common in Japan between males , rather than a true fraternal relation .
2682574	Isaura	detests	15	15	11	11	Another person who hates her is the black slave Rosa who detests the privileged life Isaura leads .
2743866	result	detested	27	27	25	25	Animated by a number of artists both British and French , it is considered by some to be his greatest achievement , although Searle himself detested the result .
2901587	system	detesting	9	9	7	7	Angry fans threw banners on the field detesting the system .
3094587	undead	detests	18	18	17	17	Akin to the cult , Grimgnaw has a deep , morbid fascination with death and dying and detests undead , as he believes undeath to be a means of escaping a natural death .
3135944	Ah	detested	19	19	16	16	Ah Hung completely disapproves that Yu So Sum should associate with Ah Ho because she strongly detested and envied Ah Ho ' s mother , Chung Siu Hor .
3249894	idea	detest	4	4	2	2	I should detest the idea of setting myself up as an author , '' she once wrote , `` give Wm .
3324116	husband	detested	16	16	14	14	After a while , she grew dissatisfied with her loveless marriage , and she detested her husband for allowing her to lash out at him , as well as cheapening her by buying her lavish presents .
3361528	relationship	detests	22	22	19	19	After being brainwashed by the fake Karina , Eliseo immediately does not take a liking to Aymar , and detests the intimate relationship she has with his son .
3928289	song	detested	16	16	13	13	According to studio engineer Geoff Emerick , John Lennon `` openly and vocally detested '' the song , calling it Paul ' s `` granny music shit '' .
3929319	everything	detest	51	51	50	50	According to Taddle Creek itself , it aims for an `` urban '' and contemporary attitude that avoids the `` snowstorm on the prairie kind of thing '' or even the confines of any one literary style , and calls itself `` the journal for those who have come to detest everything the literary magazine has become in the twenty-first century .
4164827	foreigner	detested	16	16	15	15	According to Henry Bradley , the meaning of bigot in the Old French was `` detested foreigner '' , `` heretic '' , and it is supposed that the word was a corruption of Visigot .
4172541	smoking	detested	19	19	18	18	According to Hitler ' s secretary , Traudl Junge , Hitler explained to her at length why he detested smoking , but she would not give up the habit .
4242160	stench	detests	12	12	10	10	A coroner must not avoid performing an autopsy because he detests the stench of corpses .
