2743866	result	detested	27	27	25	25	Animated by a number of artists both British and French , it is considered by some to be his greatest achievement , although Searle himself detested the result .
2901587	system	detesting	9	9	7	7	Angry fans threw banners on the field detesting the system .
3324116	husband	detested	16	16	14	14	After a while , she grew dissatisfied with her loveless marriage , and she detested her husband for allowing her to lash out at him , as well as cheapening her by buying her lavish presents .
4611580	nullification	detested	3	3	8	8	Calhoun , whose nullification and Southern-party policies Ritchie detested .
5131122	regime	Detesting	3	3	0	0	Detesting the Peron regime , Zuzana Pick left Buenos Aires in 1950 to study at Vassar College .
5924981	attack	detested	27	27	33	33	At the time , it was widely recognized that the play was written as a deliberate parallel of the upcoming 1960 Democratic Convention , and a scathing attack on the Kennedys who Vidal detested , and also something of a tribute to Adlai Stevenson who Vidal admired and supported .
6944215	occupation	detests	4	4	2	2	Although Odo detests the occupation , Dukat claims his superiors wish to `` solve '' the murder by executing ten random Bajorans .
7585580	term	detests	18	18	16	16	A first year student at Umesato Junior High School , a Burst Linker -LRB- though he detests the term -RRB- and member of the Kendo Club who abuses the Physical Burst command to cheat .
8232039	mother	detested	8	8	31	31	After inheriting Osborne , the King had his mother ' s personal photographs and belongings removed and some of them destroyed , especially material relating to John Brown , whom he detested .
8662160	idea	detests	14	14	11	11	Alexa rankings are of no value are sites whose primary userbase detests the very idea of software analyzing their browsing habits , or whose users tend to use systems on which Alexa will not run .
9777523	rhetoric	detested	12	12	8	8	Extremely modest and sensitive to ridicule , he detested artifice and empty rhetoric .
10653180	hypocrisy	detested	8	8	7	7	He was honest and sincere , and detested hypocrisy .
11272631	atheism	detested	18	18	12	12	He resented being at Mme d'Epinay ' s beck and call and detested the insincere conversation and shallow atheism of the Encyclopedistes whom he met at her table .
12090120	risk	detest	9	9	8	8	Because they are the new planners , corporations detest risk , requiring steady economic and stable markets .
12373927	police	detest	6	6	1	1	Britons detest CCTV , but the police and businesses -LRB- who install it -RRB- and occasionally frightened householders find it useful .
12632320	WR	detests	5	5	4	4	I know Engima really detests WR and giving them any attention on-wiki .
13103225	PIRA	detest	11	11	10	10	I make no secret of the fact that I thoroughly detest PIRA and all their vile offshoots , but I have not attempted to push a POV in any Troubles-related articles .
13174689	extremity	detest	8	8	7	7	I ' m one of those who detest extremity in any form .
