sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
8411	group	dislike	14	14	12	12	IMHO the PROTECT that has been requested is so that people that dislike the group can not vandalize the article .
46025	way	disliked	21	21	19	19	In 1904-1908 Morozova supported Skryabin financially and stopped doing this only after their personal relations deteriorated as the composer disliked the way she took the side of his estranged wife against his lover .
65047	journalism	disliked	18	18	15	15	In 1900 , both Bonfils and Tammen were horsewhipped and hospitalized by a lawyer who disliked their yellow journalism .
225299	discipline	disliked	17	17	14	14	In 1911 , he began his studies at the Georgetown Preparatory School , but disliked its strict discipline and failed the tenth grade .
245502	fact	disliked	33	33	31	31	In 1943 he wrote a monograph -LRB- `` Instead of me '' -RRB- in which he stated that one of the reasons for this breakdown was Kodol a nyi , who disliked the fact that N e meth had written a strongly worded letter to L o r a nt Basch , who was also a trustee of the Baumgarten Foundation , suggesting that Kodol a nyi should be given financial assistance .
247917	name	disliked	13	13	17	17	In 1943 , van der Byl became Minister of Native Affairs -LRB- a name which he particularly disliked -RRB- .
277981	album	disliked	43	43	6	6	In 1974 , Ritchie Blackmore publicly disliked the funk , soul music -LRB- or as Blackmore called it , `` shoeshine music '' -RRB- elements being introduced to Deep Purple by David Coverdale and Glenn Hughes , as well as the disappointing Stormbringer album where his favourite musical style was not adequately captured .
368358	book	dislike	15	15	13	13	In 1938 , she declared in a letter that she had come to dislike the book , and had `` great difficulty doing anything about it '' .
454267	non-conformism	disliking	43	43	40	40	In 1931 , having sided with the Simonite faction in the Liberal party , Kedward fought Ashford as a Liberal National but was defeated as the local Conservatives refused to endorse his candidacy , seeing him as too radical and disliking his overt non-conformism -LRB- anti-tithe stance -RRB- .
477528	anti-semitism	disliked	18	18	14	14	In 1933 , however , Schr o dinger decided to leave Germany ; he disliked the Nazis ' anti-semitism .
500948	occupation	disliked	23	23	21	21	In 1952 , the 24-year-old Lane showed up at the Los Angeles Rams training camp looking for a job because he disliked his occupation at an aircraft factory .
645562	living	disliked	37	37	36	36	In 1977 , while serving as Commissioner of Education , Millett and his wife bought a home in Manchester , Maine to cut down on his daily commute for work in Augusta , but the couple disliked living in a subdivision so much that he and his wife bought 25 acres of land next to his parents farm in Waterford and built a house to live in .
834225	split	disliked	25	25	23	23	In 1994 Kasparov concluded that breaking away from FIDE had been a mistake , because both commercial sponsors and the majority of grandmasters disliked the split in the world championship .
974819	feel	disliking	23	23	21	21	In 1991 Eric agreed to have his signature model with a rosewood fretboard as well to suit the needs of players disliking the feel of maple-neck models .
1112661	bullying	dislike	7	7	4	4	Incidentally , I really dislike the apparent bullying here .
1123326	idea	dislike	4	4	2	2	Inclusionists bitterly dislike the idea of notability , stating that it is being used as a club to prevent anything non-mainstream from being included in Wikipedia .
1140561	attention	disliked	26	26	24	24	In contrast to his sister , Galina Brezhneva , who was known for her temper and self-gratification , Yuri was a shadowy figure who disliked public attention .
1190538	tag	dislike	11	11	8	8	In case I was too subtle , I dislike the blink tag .
1195159	administration	disliked	18	18	15	15	In Austen ' s view the Republican Party discriminates against women , and he especially disliked the Bush administration .
1209639	custom	dislike	19	19	17	17	In central Tokyo Obon is held on July 15 -LRB- The local culture of Tokyo tends to dislike Tsuki-okure custom .
1276216	removal	dislike	7	7	5	5	In any case , I dislike the removal of page histories - - it reminds me too much of 1984 .
1284669	attitude	disliked	8	8	5	5	In any event , Amin disliked the socialist attitude demonstrated by his predecessor ; the pronouncement was soon revoked and in some industries the government refrained even from controlling stakes , though Africanisation was completed with the expulsion of Asians and later British holdings .
1285737	conflict	dislike	34	34	33	33	In any event , I will try to keep my edits to a minimum in the future to avoid causing any further trouble , I am generally a very peaceful individual and really dislike conflict .
1299417	film	disliked	12	12	10	10	In a 1998 interview , Hefner stated that he still disliked the film because it was a poor portrayal of Stratten , although he did commend Eric Roberts for `` an excellent portrayal of the sick husband who murdered her .
1301088	censorship	dislike	24	24	23	23	In a postwar memo to President Harry Truman on future wartime censorship procedures , Price wrote that `` no one who does not dislike censorship should ever be permitted to exercise censorship '' and urged that voluntary cooperation be again used .
1333149	movie	disliked	19	19	17	17	In a New York Post interview -LRB- July 3 , 1999 -RRB- , Conrad stated that he disliked the movie and that contractually he was owed a share of money on merchandising that he was not paid .
1372842	presence	dislike	34	34	32	32	In all three cases , the slaves end up being even worse off than they had been under slavery , having been bullied by white supremacists who occupy all three places and dislike the presence of coloured people .
1412237	topic	dislike	21	21	18	18	In all cases when assessing importance , try to avoid assessing articles based on whether you like or dislike the particular topic .
1456199	time	disliked	13	13	11	11	In an interview , M a enp a a admitted he disliked the time he spent in the military and suspects it ' s where he acquired tuberculosis .
1507017	government	disliked	30	30	26	26	In a survey conducted by the University of Hong Kong regarding public opinion on selected foreign governments and nationalities , 86 percent of those surveyed `` disliked '' the Philippine government , only one percent liked the Philippine government .
1570663	al-Azm	disliked	9	9	8	8	In addition , the Kizlar Agha of Istanbul disliked al-Azm for apparently not taking good care of him when he passed through Damascus on the pilgrim caravan .
1571567	loading	disliked	11	11	7	7	In addition , the Luftwaffe test pilots disliked the high wing loading , which resulted in landing speeds so great that they often had to use brakes right up to the last of the runway .
1594926	party	dislike	17	17	15	15	In 2013 an article in the Financial Times reported that `` voters like Rudd but dislike her party .
1609382	show	disliked	9	9	7	7	In addition , Spider-Man co-creator Stan Lee disliked the show , and was vocal about his dissatisfaction with it ; he once said in an interview that he felt the series was `` too juvenile '' - a controversial statement given his credit as script consultant on each episode .
1631863	tactic	dislike	20	20	17	17	In actuality the dispute is a tactic by Masonic editors to blanket delete a section they intensly dislike , a tactic they have used previously on numerous occasions .
1637259	food	dislike	8	8	6	6	In addition , although some people dislike fast food for its predictability , it can be reassuring to a hungry person in a hurry or far from home In the post-World War II period in the United States , fast food chains like McDonald ' s rapidly gained a reputation for their cleanliness , fast service , and a child-friendly atmosphere where families on the road could grab a quick meal , or seek a break from the routine of home cooking .
1659270	someone	dislike	19	19	22	22	In addition , this page promotes the image of a `` cabal '' - get someone else to block someone who you dislike .
1725612	uncertainty	dislike	5	5	4	4	In addition most people dislike uncertainty , and the vague nature of the threat increases the uneasy feeling of the recipient .
2067565	idea	dislike	13	13	11	11	And nothing would be moved , just a simple supplement you dislike the idea of .
2080553	idea	dislike	6	6	4	4	And , I really dislike the idea of Wikipedia being abused in the same way that these community forums -LRB- StackOverflow , Ubuntu Community Help , etc .
