4457985	brother	fancying	5	5	2	2	Despite Nicole fancying his step brother Ali ' s relationship with Justin became stronger .
4966558	career	fancies	3	3	1	1	Dan fancies a career working with Jesus , and one day hopes to become a priest , or a liquor store owner .
5998879	audience	fancies	18	18	22	22	At the Johannesburg Schools Boxing Championship , PK sees an Afrikaner girl -LRB- Fay Masterson -RRB- in the audience whom he immediately fancies .
7193388	credit	fancies	25	25	21	21	All you have to do is find a few good sources and filter out the wheat from the chaff if anybody fancies a Main Page credit for 10 minutes ' work .
9710147	teacher	fancying	26	26	24	24	Ex Doe Maar-member Ernst Jansz , always one to chronicle impossible relationships , wrote Verliefd op de meester , a song about a schoolgirl fancying her teacher .
9919113	establishment	fancies	6	6	4	4	Florentine barber , who fancies his establishment as a meeting place for the Florentine intelligentsia and a forum for political and philosophical discussion .
12751637	knowledge	fancied	34	34	13	13	I have been editing Wikipedia for well three years or more now and fancied the innate and ultimately inherent striving of any human being to share information to one ' s best of ones knowledge -LRB- although we all sometimes drift off a bit or are short sighted in themes that move us emotionally -RRB- .
13029085	spinach	fancied	15	15	14	14	In 1533 , Catherine de ' Medici became queen of France ; she so fancied spinach , she insisted it be served at every meal .
17057237	club	fancying	16	16	14	14	I ca not see this as making much sense ; if someone admits to fancying a club , they ' ll only get more criticism for themselves and their decisions .
17685520	research	fancying	4	4	2	2	I am fancying this research an interesting approach to the mobile telephone articles review , and , in addition to the answer which i am seeking , i would enjoy knowing that whomever took to this research left appropriate comments and questions in the several relevant WP articles .
17764339	idea	fancied	4	4	2	2	I always fancied the idea of writing a book , and I was bored on the road , so I sat down and started at page one !
18563376	subject	fancies	17	17	13	13	As such it is one of many such firms , each of which fancies themselves an encyclopedia subject without sufficient reason , and this article makes absolutely no case that this business or its products have any long-term historical notability or cultural , historical , or technical significance .
23560545	basketball	fancied	2	2	1	1	He fancied basketball at a young age and tried to enter the sport at a competitive level in his first year of high school .
23560548	music	fancied	2	2	1	1	He fancied music of Led Zeppelin , Deep Purple and Bijelo dugme .
23560567	woman	fancies	3	3	1	1	He fancies the woman for himself , but Rose picks up the whip and uses it on him .
24516960	singer	fancies	7	7	3	3	Elvis-imitating compere who fancies himself the best singer around -LRB- `` Something Tells Me '' -RRB- .
25043630	woman	fancied	39	39	44	44	Columbus , Ohio drugstore when he turned out this first success , in collaboration with Otto Harbach , about the pursuit of an incriminating undergarment which a shy bridegroom in a single bold moment had presented to a young woman whom he had temporarily fancied .
26502434	cafe	fancies	7	7	15	15	Chas is told by Bob in the cafe that Dan Spencer -LRB- Liam Fox -RRB- fancies her .
28097279	fruit	fancied	28	28	27	27	Humans having color vision was a fortunate stroke of fate , as once upon a time in a steamy jungle somewhere , a group of herbivorous monkeys fancied fruit .
29349543	girl	fancies	17	17	15	15	He is a student at Forest Gate Community School in year 10 , he also fancies a girl called Rabia Ahmed who gets bullied every so often .
30064443	cup	fancies	13	13	11	11	Franka , who works as a secretary , asks if anyone fancies a cup of coffee and notes that Professor Philip Factotum has got a visitor .
35139941	term	fancying	36	36	34	34	Let alone that it bears no encyclopedic value rather than an attack to a group of immigrants -LRB- I do not think Kurds , Arabs , Pashtuns , Persians , Punjabis , Turks are fancying this term being referred to them -RRB- and the article is just so short -LRB- and has 4 contributed edits , mainly by the creator of this article -RRB- which are minor per se , as being said - the article is very short -RRB- .
38101888	coach	fancies	4	4	1	1	Kit fancies the assistant coach He Dan -LRB- Gong Beibi -RRB- but she likes someone else .
39482317	name	fancied	7	7	5	5	It ' s likely he fancied the name of the then-defunct weekly .
40109833	water	fancied	7	7	3	3	Many miners apparently fancied a good soda water especially on a hot miner ' s day .
40776279	practice	fancied	15	15	13	13	Moreover , some women laced down after their marriage to please husbands who fancied the practice .
41650299	brother	fancies	18	18	16	16	Making him more insecure is the fact that the girl -LRB- Marissa -RRB- he loves already fancies his brother and after he shot and killed Jojo after being proposed to Nene , at the end he died of Leukemia .
44078839	idea	fancied	48	48	46	46	Singer Gruff Rhys has expressed dissatisfaction with this choice , claiming that he is not sure how the decision was made and that he wanted `` Wherever I Lay My Phone -LRB- That ' s My Home -RRB- '' to be released as he `` quite fancied the idea of a novelty hit '' .
44168657	commander	fancy	24	24	19	19	Slocum resisted the suggestion , claiming the terrain was too difficult for an assault , but he continued to fancy himself the right wing commander for the rest of the battle , leaving Brig .
47170941	music	fancied	4	4	3	3	Queen Elizabeth I fancied music and also knew well how to play instruments .
49292621	idea	fancies	10	10	8	8	Now whether the driver of a wading tank fancies the idea of driving it around in what has become essentially a murky , obstacle-filled , fast-flowing river is another matter .
52116774	companion	fancied	15	15	13	13	On his second racecourse appearance he won the Epsom Derby defeating his more fancied stable companion , Eagle .
53748911	boss	fancies	3	3	1	1	Rosie fancies her boss , Liam Connor -LRB- Rob James-Collier -RRB- , but he makes it clear that he is not interested so she moves on to John Stape -LRB- Graeme Hawley -RRB- .
53879807	notoriety	fancies	29	29	27	27	She reaches the room just minutes before the journalist and discovers the man claiming to be Vogel is an impostor , a senile old man who apparently fancies the notoriety .
54192673	watcher	fancies	6	6	1	1	She fancies her handsome , young watcher , Kit .
54192680	orange	fancies	4	4	1	1	She fancies the color orange and also wears a silver tiara .
55054330	someone	fancying	4	4	3	3	The song describes fancying someone who already interested in someone else and , therefore , maintaining the sentiments a secret .
56764126	Trap	fancied	10	10	8	8	Sterling-Crawford had placed an entry for his well fancied Rat Trap in the 1845 Grand National but when that horse was forced to withdraw through injury he was allowed to nominate a substitute to run in his colours of white white black sleeves and cap .
59411936	property	fancied	3	3	5	5	The lady whose property he fancied was Marie Genevieve , daughter of a M .
60515107	case	fancied	4	4	2	2	Stout has fancied his case freshly , heard in acutely and if , after all this , he resolves it a little dully , there is to the last the pleasant acidity of Archie .
61618211	woman	fancies	6	6	3	3	The Duke presently fancies a young woman who poses as an artist ' s model .
65903921	mansion	fancied	5	5	1	1	They fancied an English-style country mansion in a stately park setting .
67022516	woman	fancied	30	30	27	27	The most widespread version of the legend relates that two local giants , Goram and Vincent - who , according to one version , were brothers - fancied the same woman , the beautiful Avona -LRB- whose name is that of the major local river , the River Avon , in Latin dress -RRB- .
69283192	theatre	fancied	10	10	9	9	The Prince was a silent , shy person who fancied theatre and was educated in the Corps des Pages , a military academy in Saint Petersburg .
69830854	waitress	fancies	29	29	32	32	The restaurant owner gets Zhang tied up and gagged upstairs , after which he leaves , and an irate chef attacks Zhang for molesting -LRB- unwittingly -RRB- a fellow waitress whom he fancies .
71408862	rummage	fancies	16	16	14	14	Used on one article ; there is some population in though , if anyone fancies a rummage .
71719517	game	fancy	20	20	16	16	The weather on the day was heavy rain and torrential winds , which experts believed would fancy the English forward-dominated game , rather than the French free-flowing backs game .
75537176	paramedic	fancies	11	11	8	8	Wullie is devastated at her death , but fancies the female paramedic .
76558897	brother	fancied	7	7	5	5	When he was younger Donald fancied his brother Hector ' s wife Molly .
77523425	life	fancying	28	28	25	25	Yo Yo is a 1920s billionaire who , although having everything he fancies and living in a cavernous old castle , is not happy , fancying the simple life of a beautiful circus actress .
