sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
14066	film	fear	6	6	12	12	I might toss in a dystopian film , Gattaca , which I fear could become reality once the genetic engineering and testing infrastructure are firmly in place .
19014	involvement	fearing	8	8	6	6	In 1896 , his parents , fearing his involvement in the bloody and ever increasing conflict in Cuba ' s war of independence from Spain , decided to send him to Mexico to live with an uncle , Pedro Calvo .
24705	refusal	fearing	12	12	11	11	In 1898 , he emigrated to the United States , but fearing refusal of entry , he got off the boat in Nova Scotia , Canada , before moving on to New York in January 1899 .
27310	director	fearing	23	23	3	3	In 1884 , fearing the appearance of a new outbreak , the doctors Jos e Mar i a Ramos Mej i a , director of public assistance , and Jos e Penna , director of the Casa de Aislamiento -LRB- now the Hospital Mu n iz -RRB- , decided to cremate the body of a Pedro Doime , whe had been affected by the yellow fever .
28641	opposition	fearing	32	32	31	31	In 1884 , Rodi c in his capacity as provincial declined the request of Ivan Antunovi c to help start a newspaper for the Bunjevci Croats in Ba c ka , fearing opposition from higher authorities , but supported his cause - using their native language and relaying them news from Croatia .
61592	rule	fearing	5	5	3	3	In 1899 , fearing direct rule from the Ottomans , Sheikh Mubarak Al-Sabah entered into a treaty with Britain by which Kuwait became a protectorate .
67203	search	feared	13	13	22	22	In 1900 she traveled alone to the gold rush camps of Alaska in search of her favorite brother Raymond Robins whom she feared was lost in the Yukon .
115033	revolt	fearing	25	25	23	23	In 1907 as numbers increase to 5 , 000 people , the government begins to feel concerned about the number of followers , fearing a revolt , they arrest several Samin followers .
133268	loss	fearing	34	34	32	32	In 1918 , a proposal was made to build another line to coal interests around Ohai , and the construction of this line was fiercely opposed by the Nightcaps Coal Company , fearing a loss of business .
144316	isolationism	feared	32	32	36	36	In 1924 , he travelled to the United States on a lecture tour where he spoke about the growing problems between the Occident and the Orient as well as warned against American isolationism which he greatly feared .
148646	indiscipline	fearing	5	5	3	3	In 1925 , fearing proto-Trotskyist indiscipline , Lore was brought up on charges before the executive of the Workers -LRB- Communist -RRB- Party ' s German Language Federation .
172524	attack	fearing	12	12	10	10	In 1914 despite an exodus of 60 , 000 Chinese fearing an attack on the colony during World War I , Hong Kong ' s population continued to increase from 530 , 000 in 1916 to 725 , 000 in 1925 and 1 .
176511	loss	fearing	4	4	3	3	In 1926 , fearing loss of the tree , a bronze plaque commemorating the tree was set in a granite boulder by the local Native Sons of the Golden West .
180317	outbreak	feared	15	15	13	13	In 1926 the unions had called a General Strike and the Conservative Government feared the outbreak of revolution , as had happened in Russia in 1917 .
189926	stigma	feared	18	18	16	16	In 1922 he started writing for the Armenian publications and took a pen name because he feared the stigma of rejections , and at age 22 , Aram Chekenian became Aram Haigaz .
202045	uprising	fearing	21	21	18	18	In 1915 , the Ottoman Army was initially defeated in the Caucasus during the Great War , and fearing an internal uprising from its Christian population orders were given to exterminate the Armenian and Assyrian population of Anatolia .
204936	nothing	fear	51	51	50	50	In 1916 Martin contracted with Ditson ' s music store to produce a much larger store-badged guitar to compete sonically in ensembles ; this boxy thunderer was named the Dreadnought in honor of the most horrific weapons system of the day , a British Navy battleship so large it could fear nothing , or `` dread nought '' .
213106	decrease	feared	46	46	43	43	In 1928 , the first condom vending machines were installed by Fromm ' s company , but the interior ministry only allowed it to advertise the hygienic advantages of condoms , not the condom ' s use as a contraceptive , because it feared a further decrease of the birth rate .
228333	state	feared	7	7	4	4	In 1911 , Thompson feared the declining state of the Fairbanks economy and decided to leave Alaska .
236553	offensive	feared	8	8	5	5	In 1945 , the Japanese feared an Allied offensive in French Indochina .
