sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
127081	lightboxing	hates	9	9	8	8	I ' m not the only one who hates lightboxing .
244200	country	hates	13	13	15	15	In 1943 , he and Tsar Michael trade public insults as to whose country God hates more .
297741	format	hated	4	4	10	10	In 1985 , the format , which Doc Benson reportedly hated , was dropped , and WIDG calls returned .
352421	approach	hated	29	29	26	26	In 1941 he enlisted in the Navy almost immediately after Pearl Harbor and went through the Navy photo school at Pensacola , Florida , where he hated the stereotyped approach to making a photograph .
385928	idea	hates	14	14	12	12	In 1967 , David considers standing for Council elections , but Irma hates the idea and he eventually decides not to go through with it .
463905	Sea	Hates	20	20	18	18	In 1934 , Tong made his film debut in a bit part in the comedy film The Captain Hates the Sea .
835267	anyone	hate	18	18	17	17	In 1994 , Morrissey rejected claims of racism , saying `` If the National Front were to hate anyone , it would be me .
845539	law	hate	19	19	17	17	In 1997 , Short introduced Senate Bill 37 to remove sexual orientation from the state ' s hate crimes law .
903667	Campaign	Hate	22	22	21	21	In 2004 , they released their sole album with that label titled Where Ironcrosses Grow which some thought sounds close to Hate Campaign and was inspired by Iron Maiden and Autopsy .
935655	school	hates	32	32	30	30	In 2002 Marni -LRB- Kristen Bell -RRB- is an acne-riddled high school senior at Ridgefield High School , with glasses and braces , making a video about how much she hates high school , and reveals how she is tormented and bullied by other children , specifically J-J -LRB- Odette Yustman -RRB- , who made Marni ' s high school life miserable .
945930	funding	hate	14	14	11	11	In 2003 , Massachusetts Governor Mitt Romney vetoed a bill funding hate crimes prevention funding , after which he impounded money previously approved by former Governor Jane Swift for a bullying prevention program .
1010398	ordinance	hate	12	12	10	10	In 1990 , Damski worked to pass Chicago ' s hate crimes ordinance .
1086992	racism	hating	19	19	16	16	Incomplete list with a lot of personal attacks , such as constantly accusing other editors of hating Russia or racism .
1112064	pederasty	hate	9	9	8	8	Incidentally , I am conservative and I do hate pederasty .
1113629	yakuza	hates	6	6	4	4	Incidentally , she also hates the yakuza , citing them at fault for many of the wrongs of the world .
1116049	copyright	hate	11	11	9	9	Incidently -LRB- and for the record -RRB- , I hate Australian copyright !
1116528	wish	hate	8	8	4	4	IncidentsI believe we all hate this page and wish we did not need it .
1122348	article	hating	29	29	27	27	Including the sourced and highly public -LRB- Oprah being as close as you get to shouting from the rooftops -RRB- comment from Saperstein will always have them hating the article .
1139406	spotlight	hated	14	14	12	12	In contrast to Ballard , Stavro was a somewhat reclusive man who hated the spotlight , and largely left the Maple Leafs in the hands of the hockey operations staff .
1140376	job	hate	33	33	31	31	In contrast to his demeanour later in the series , Manny is highly stressed ; evidently as a result of his being an accountant , as he tells Bernard `` I hate my job !
1190467	USA	hates	10	10	8	8	In case it matters , `` This user hates the USA with a passion !
1196617	Part	Hate	7	7	5	5	In Australia , `` I Hate This Part '' debuted at number forty-five on the Australian ARIA Singles Chart , based solely on download sales , and has since peaked at number-ten .
1220321	game	hate	19	19	16	16	In Choke , when Butt-head tries to demonstrate that he is choking Beavis says `` I hate this stupid game '' , as if Butt-head were playing a game of charades .
1223672	makeover	hated	25	25	23	23	In `` Breaking Up Is Hard To Do '' , during their date at Amore , it became clear to Steve that Myra hated his makeover and demanded that he return to the sexy nerd she loved so much .
1276008	WoW	hate	13	13	12	12	In any case , I am not a WoW player , I hate WoW for stealing all my friends , but this is notable .
1299708	dream	hate	51	51	48	48	In a 2000 article in The Washington Post , Berezovsky argued that in the absence of a strong civil society and middle class it may sometimes be necessary for capitalists `` to interfere directly in the political process '' of Russia as a counterweight to ex-Communists `` who hate democracy and dream of regaining lost positions .
1331311	brother	Hates	11	11	5	5	In an episode of Everybody Hates Chris , Chris and his brother Drew skip school to go to Long Island to try and meet Wayne Gretzky .
1337437	choice	hated	32	32	41	41	In an interview , Bradley recalls that each member was brought a selection of outfits to choose from to wear in the video , except for him who only had the one choice - the one he wore - which he hated .
1337982	Part	Hate	24	24	22	22	In an interview for Rap-Up , Melody Thornton said that her 24th birthday will be spent shooting the video for `` I Hate This Part '' .
1338099	opportunist	hated	24	24	17	17	In an interview for the New York Times in 2008 , she expressed her opinion that Bikindi hated no one and was simply an opportunist , too eager to please .
