sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
2331	approach	preferred	17	17	14	14	I ' m going to take Tony ' s recommendation although I would have preferred the softer approach which was protecting the page and directing people to the proper avenues for their complaints .
7851	form	preferring	3	3	1	1	Imho preferring one form over another would be POV .
8270	source	prefer	22	22	19	19	IMHO , the existence of the books is verifiable by the books themselves , or by WorldCat if you prefer a secondary source , and Google books returns enough hits to assure me of notability .
11462	layout	prefer	12	12	10	10	I might do so in a while , but I prefer the layout of 6 -LRB- most things I need are easily accessible -RRB- and I wanted to give IE7 time to get as stable as possible -LRB- when my family installed IE7 to their computer , it crashed it quite horribly and took some effort to sort out .
11663	continuity	prefer	12	12	10	10	I might even venture to say that the community would prefer the continuity that comes from a person resuming their previously vanished account , rather than establishing a new one .
11830	left	prefer	12	12	10	10	I might get used to it , but I still prefer the left .
12025	size	prefer	13	13	9	9	I might have at some point , but I prefer our style and size .
12401	restoration	preferred	7	7	3	3	I might have preferred a less radical restoration .
13268	crat	prefer	6	6	3	3	I might not prefer a returning crat to actually need to reapply through the RfB process .
13432	note	prefer	5	5	2	2	I might prefer a single note that contained all the cites .
13437	option	prefer	6	6	2	2	I might prefer the mutant cheese option .
13438	ok	prefer	10	10	2	2	I might prefer this , but actually I ' m ok with that , too '' and thereby we can reach mutually satisfactory conclusions .
13722	mention	prefer	6	6	3	3	I might still prefer the Dictionary mention in the first paragraph , but on the whole I see no due weight issues in the lead anymore .
14893	admin	prefer	71	71	68	68	I ' m inclined to block the IP for 48 hours or so to stem the tide , but as I ' ve been involved in AIDS denialism articles and crossed paths with this editor before -LRB- and it ' s just possible that being called a DUMBASS , in all caps , has penetrated my armor of self-esteem and affected my judgement -RRB- , I ' d prefer an outside admin to comment and do what they think is appropriate .
82864	programme	preferred	31	31	28	28	In 1907 , he was to say that he thought Chamberlain ' s plan for a federal solution correct in 1886 and still thought so , that he preferred the unauthorised programme to the Whig-like platform of the official Liberal Party , and that had Chamberlain proposed solutions to Welsh grievances such as land reform and disestablishment , he , together with most Welsh Liberals , would have followed Chamberlain .
87916	system	preferred	13	13	10	10	In 1908 , O'Day was quoted as saying that he preferred the single-man system and that he had run into more trouble in games with two umpires .
113068	horse	preferred	8	8	6	6	In 1906 , Palmer , who preferred the horse to the newly invented automobile , suffered a fall from a horse while on a ride with his daughters and a friend and was paralyzed .
117516	cipher	prefer	20	20	19	19	I ' m not saying that any of these groups is absolutely right or wrong , but we should prefer cipher in the context of modern cryptography , and allow either form in other contexts .
117918	name	preferred	14	14	13	13	I ' m not saying Wikipedia should not also include Liftarn ' s preferred name , but I do not believe Camptown is `` knowingly spreading false information '' or `` lying '' or any of the other things Liftarn has accused him of .
122558	m	prefer	23	23	13	13	I ' m not sure it ' s enough , but I would prefer input from others on this , so I ' m moving this to AfD instead .
127276	editor	prefer	14	14	10	10	I ' m not too familiar with them and would prefer a more experienced editor to upload the file .
128050	devolution	prefer	11	11	10	10	I ' m not very keen on hierarchical structures and prefer devolution to centralisation .
166818	paper	preferred	38	38	34	34	In 1912 , three years after Marinetti ' s Futurist Manifesto , Antonio Sant'Elia and Mario Chiattone take part to the Nuove Tendenze Also Boccioni unofficially worked on a similar manifesto , but Marinetti preferred Sant'Elia ' s paper .
186932	strategy	preferring	38	38	33	33	In 1921 , the Giants gave the Yankees an eviction notice due to several factors , including jealousy over the Yankees bringing in more crowds than the Giants ; Giants manager John McGraw preferring the dead ball era strategy over the slugging strategy of the Yankees as personified by Babe Ruth ; and the 1921 World Series match-up between the two teams .
242813	Empire	preferred	14	14	17	17	In 1942 , when expressing his fear of an imminent collapse of the British Empire which he preferred to remain intact , Hitler believed that the United States would seize and annex Canada at the first opportunity , and that the Canadians would be quick to welcome such a move .
247313	Ta	preferring	31	31	28	28	In 1943 , the Kriegsmarine withdrew their interest in the Me 264 in favour of the existing Ju 290 and the planned Ju 390 , with the Luftwaffe preferring the unbuilt Ta 400 and the Heinkel He 277 as Amerika-Bomber candidates in May 1943 , based on their own performance estimates , stopping any further development work on the Messerschmitt bomber design .
277666	man	preferred	19	19	17	17	In 1974 , Passman dismissed a female employee from his office , Shirley Davis , because he preferred a man to hold her position .
289399	letterform	preferring	16	16	10	10	In 1972 , Olympique redesigned its logo , this time preferring a complex `` M '' letterform .
310800	Vietnamization	prefer	66	66	57	57	In 1982 , James Fallows wrote a review of Podhoretz ' s book , Why We Were in Vietnam , for the New York Times , in which he accuses Podhoretz of `` changing his views '' and `` self-righteousness '' on the subject of Vietnam , noting that in 1971 Podhoretz wrote that he would `` prefer just such an American defeat to a ' Vietnamization ' of the war .
326630	gender	preferred	21	21	20	20	In 1983 , the Supreme Court ruled that in some cases , when the attributes of the individual ' s preferred gender were predominant , it is possible to change one ' s legal gender even before genital reassignment surgery .
344657	Tennis	preferring	26	26	20	20	In 1956 , the International Table Tennis Federation severed its ties with the all-white South African Table Tennis Union , preferring the non-racial South African Table Tennis Board .
344658	Tennis	preferring	26	26	20	20	In 1956 , the International Table Tennis Federation severed its ties with the all-white South African Table Tennis Union , preferring the non-racial South African Table Tennis Board in its stead .
392348	silver	preferred	18	18	14	14	In 1967 , then football coach and athletic director Jack Swarthout , who personally preferred the maroon and silver used by the football team , sought to make the schools colors more consistent and held a vote among UM coaches .
519033	anything	prefer	32	32	31	31	In 1950 , Mrs Powell wrote to the composer Harold Rutland , Letter from Dora Powell to Harold Rutland , `` What a curious fact it is that people seem to prefer anything but a fact .
558072	product	preferred	20	20	18	18	In 1975 , Pepsi began showing people in blind taste tests called the Pepsi Challenge in which they preferred one product over the other , and then they began hiring more and more popular spokespersons to promote their products .
657133	category	preferring	20	20	18	18	In 1979 an expert World Health Organization committee discouraged the use of `` alcoholism '' in medicine , preferring the category of `` alcohol dependence syndrome '' .
695850	way	preferring	20	20	18	18	In 2006 with the release of Dante XXI , he began spelling his name `` Iggor '' , preferring the way it looks .
698780	solution	preferred	20	20	17	17	In 2007 a majority of both Israelis and Palestinians , according to a number of polls , preferred the two-state solution over any other solution as a means of resolving the conflict .
