sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
1867	deicision	regret	7	7	5	5	I ' m going to regret this deicision if someone scares me , obviously , but hey-ho .
175322	choice	regretted	7	7	5	5	In 1925 , Vavpoti c regretted the choice of the motif , because he found it kitschy .
198678	lack	regretting	23	23	21	21	In 1915 , a Bengali historian Jadunath Sarkar , wrote an essay Confessions of a History Teacher in the Modern Review regretting the lack of acclaimed historical works in vernacular languages and stressed that efforts should be made to write history books and teach history in vernacular languages .
488503	marriage	regretted	22	22	20	20	In 1958 she befriended and married Don Ross , a beatnik who worked as a fairground barker , but quickly regretted their marriage .
562389	language	regrets	72	72	64	64	In 1976-77 he wrote `` Darkie ' s Mob '' for Battle , a violent series about a renegade British captain leading a group of lost soldiers in a personal war against the Japanese in Burma during World War II , drawn by Mike Western , which became one of the comic ' s most popular strips , although Wagner has since said he regrets `` some of the jingoistic , racist language '' used .
703666	participation	regret	23	23	20	20	In 2005 , the mainstream church apologized for its failures during World War II expressing that they `` ' deeply regret ' any participation in or support of Nazi activities during the war .
719641	sale	regretted	20	20	18	18	In 2006 , Dekeyser sold a 49-percent stake in DEDON to a US-based private equity firm but soon regretted the sale .
741042	decision	regretted	9	9	7	7	In 2005 , Lynam admitted that he regretted his decision to move to ITV from the BBC in 1999 .
744234	tragedy	regret	25	25	29	29	In 2006 , LTTE spokesman Anton Balasingham told the Indian television channel NDTV that the killing was a `` great tragedy , a monumental historical tragedy which we deeply regret .
826455	shooting	regretted	61	61	60	60	In 1998 , Spielberg re-visited Close Encounters yet again , this time for a more definitive 137-minute `` Collector ' s Edition '' that puts more emphasis on the original 1977 release , while adding some elements of the previous 1980 `` Special Edition , '' but deleting the latter version ' s `` Mothership Finale , '' which Spielberg regretted shooting in the first place , feeling it should have remained ambiguous in the minds of viewers .
933024	part	regrets	15	15	13	13	In 2002 , however , the General Assembly passed a resolution that `` regrets any part played in sectarianism by our church in the past and affirm our support for future moves towards a more tolerant society '' .
940867	conduct	regretted	13	13	11	11	In 2003 , he told the NSW Medical Tribunal that he regretted his conduct and expressed remorse .
985355	decision	regretted	37	37	35	35	In 1981 , she announced her retirement , saying in 2011 , `` I had knee problems and I was not motivated because I had reached all my goals '' but she said she later regretted her decision .
1035516	support	regretted	14	14	12	12	In 1989 , Carey announced that he was no longer pro-choice and regretted his support for legalized abortion and public financing of abortion as governor .
1081161	decision	regretting	8	8	6	6	In 832 , with Emperor Wenzong regretting his decision in the Xidamou matter , Niu resigned and was made the military governor of Huainan Circuit -LRB- 淮 南 , headquartered in modern Yangzhou , Jiangsu -RRB- .
1112666	part	regret	5	5	2	2	Incidentally I regret the snide part of what I said above and have crossed it out .
1171729	decision	regretted	39	39	37	37	In 208 , after Cao Cao took Jing Province from Liu Biao , Jia Xu suggested Cao Cao not to attack the southeastern warlord Sun Quan , an advice which was rejected , and Cao Cao soon regretted the decision when his entire army was demolished at the Battle of Red Cliffs .
1264670	loss	regretting	21	21	19	19	In between guarding baby Luke Skywalker , he finds himself becoming accustomed to the life of a hermit , regretting the loss of Anakin Skywalker and brooding about the Jedi lives that were lost .
1277205	expansion	regret	7	7	5	5	In any case , I regret the expansion of the discussion from the many articles involved to this page .
1287602	something	regret	18	18	17	17	In anyone ' s life , it does not benefit them if they ' re gon na regret something so what I do to combat that is that I just make sure that everything I do its because I want to do it .
1302974	change	regret	19	19	17	17	In a prefatory essay to readers , the translation committee said that `` although some readers may regret this change , it should be pointed out that in the original languages neither the Old Testament nor the New makes any linguistic distinction between addressing a human being and addressing the Deity .
1332861	way	regrets	28	28	26	26	In a new promo for the show , entitled Steps Reunion , each member revealed their true feelings , with `` H '' sharing that he regrets the way it all ended , but insisting , `` If I were to revisit it and turn the clock back , I would probably have done it exactly the same way .
1337391	cancellation	regretting	27	27	25	25	In an interview , Barwood commented that the development team should have thought about the story more thoroughly beforehand , calling it insensitive and not regretting the cancellation of the title .
1341554	everything	regret	22	22	21	21	In another episode , when told by Blackarachnia he would `` live to regret this '' , Rampage responded `` I regret everything , my sweet '' .
1346866	compliance	regret	11	11	9	9	In a footnote Dawson states that `` he would regret his compliance , for the published volume was marred throughout by sloppy typography and numerous misprints '' -LRB- ibid -RRB- -RRB- .
1352951	offence	regret	21	21	17	17	In a House of Commons statement on 18 March , Thatcher said , `` I very much regret any embarrassment or offence to the teachers of this school which may have followed from my statement last Thursday .
1354569	activism	regretted	20	20	16	16	In a July 28 , 2008 op-ed in The Washington Times , he wrote that he regretted his youthful anti-war activism , calling it the result of `` Marxist propaganda .
1419704	move	regret	2	2	6	6	In a move that Conn would regret for the rest of his life , he tried to go for the knockout in round 13 , and instead wound up losing the fight by knockout in that same round himself .
1456117	adventure	regretted	25	25	20	20	In an interview , Kitano admitted he was not fully satisfied with the final result of Brother and that he regretted his `` Hollywood '' adventure which was supposed to bring him a broader audience with a higher exposure .
1457944	way	regretted	21	21	19	19	In an interview with Australian ABC Television ' s Asia Pacific Focus programme on 27 November 2005 , Ganilau regretted the way the Military had become politicized since the 1987 coups .
1480486	closure	regretting	8	8	6	6	In August 2008 a motion S3M-2405 regretting the closure of G41 and G42 was put down in the Scottish Parliament , attracting cross-party support .
1502841	use	regretted	15	15	11	11	In a statement on his website , he added that he regretted his `` occasional use of cocaine in what have sometimes been the long days since my retirement from the ring .
1518787	conduct	regretted	13	13	10	10	In April he had been quoted as saying that he regretted his past conduct and wanted to go back up to the big time .
1556852	purchase	regretting	19	19	17	17	In a business and marketing context , `` buyer ' s remorse '' is the concept of regretting a purchase after buying it .
1563448	passing	regretting	25	25	23	23	In A Civil Campaign he travels to Barrayar with haut Pel for Emperor Gregor ' s wedding carrying a message for Miles Vorkosigan regretting the passing of Admiral Naismith , in effect letting Miles know that the Cetagandans have seen through all of Miles ' s misdirections and deduced that he and Naismith are the same person .
1725123	crime	regrets	17	17	15	15	In addition , Morales has claimed that he has found God in prison , and regrets the crime that he committed .
1849429	song	regretted	12	12	8	8	In 2001 , Dassin admitted that he somewhat regretted the Rififi theme song , utilized only to explain the film ' s title which is never mentioned by any other film characters .
2031908	vote	regretted	17	17	15	15	In 2007 , he told a group of bloggers on a conference call that he regretted his vote on the Sarbanes-Oxley bill , which has been castigated by many executives as too heavy-handed .
