sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
26394	process	resented	26	26	29	29	In 1883 the new West Suffolk county council decided that the two strangely divided civil parishes should be joined together as Nayland with Wissington , a process which Wiston resented but could not prevent .
66842	presence	resented	28	28	26	26	In 1900 , members of a Chinese nationalist society , known as the Righteous Harmony Society or in contemporary English parlance , `` Boxers '' , resented the presence of Western foreigners and Chinese Christians on their soil and proceeded to attack them .
145230	fact	resented	23	23	21	21	In 1924 , junior club Larkhall Thistle brought a case against Bathgate for poaching their players , as the junior clubs resented the fact senior clubs could take their players without adequate compensation .
1080874	Niu	resented	47	47	45	45	In 823 , after Emperor Muzong made Niu Sengru a chancellor , over Li Deyu , who also wanted to be chancellor , Li Deyu believed that it was at Li Fengji ' s recommendation that Niu was made chancellor over him , and therefore resented both Niu and Li Fengji .
1106119	invasion	resented	7	7	4	4	In consequence bandits now resented the Japanese invasion , and began retaliatory attacks against isolated Japanese communities along the Mukden-Antung railway .
1115973	assumption	resent	7	7	4	4	Incidentially , I also resent the naive assumption that Roman Catholicism is `` a position '' and that there was no theological dispute prior to Luther .
1178507	supremacy	resents	14	14	12	12	In 3rd Strike , in spite of his new position , Urien resents the supremacy of his brother .
1228099	gap	resented	21	21	13	13	In Bucer ' s time , social unrest was growing as lower-level artisans resented their social immobility and the widening income gap .
1262096	way	resented	7	7	5	5	In Belgium and Hungary everyone resented the way he tried to do away with all regional government , and to subordinate everything to his own personal rule in Vienna .
1395427	evocation	resented	40	40	38	38	In addition to some displeasure among Iraqis who had suffered under Saddam Hussein to retaining national symbols used by his government , there was also strong aversion to the flag from Iraq ' s Kurdish minority , who resented its evocation of pan-Arabism .
1436830	program	resented	10	10	8	8	In addition , younger Portuguese military academy graduates resented a program introduced by Marcello Caetano whereby militia officers who completed a brief training program and had served in the overseas territories ' defensive campaigns , could be commissioned at the same rank as military academy graduates .
1456706	song	resents	22	22	20	20	In an interview on the VH1 special 100 Greatest Songs of the ' 80s , Mike Score said that he resents the song , but plays it live because people enjoy it .
1487892	notion	resents	21	21	19	19	In a radio interview , he publicly denied this claim and attributed his hair to his spirituality , and resents the notion that his hair has anything to do with football .
1507176	occupation	resent	45	45	43	43	In a Survey of Western Palestine -LRB- 1881 -RRB- , it is noted that , `` Though the land belongs to the Government , the Fellahin , from long usage , have got to look upon it as virtually their own , and resent its occupation by any other person .
1573078	attempt	resented	8	8	6	6	In addition , the new generation resented an attempt of PNV to pull the strings of their movement and PNV ' s youth wing Euzko Gaztedi -LRB- EGI -RRB- , with whom they had merged in the mid-50s , as well as showing a more modern stance , stressing for one the language as the centre of Basqueness , instead of race .
1625647	statement	resent	9	9	4	4	In addition , I resent the arrogant and insulting statement by HumbleGod , whatever juvenile handle that might be , from saying that I have a history of vanity articles .
1636332	tsar	resented	15	15	4	4	In addition , Alexandra resented the ostentatiously considerate treatment of Maria by her husband the tsar , which only slightly evaporated after the birth of their five children .
1658227	government	resented	7	7	4	4	In addition , they resented the US government , which had forced them off their lands and failed to protect them against the Plains tribes in the West .
1672010	burden	resented	16	16	11	11	In addition , the Serb and Montenegrin population of Kosovo increasingly resented the economic and social burden incurred by the university ' s student population .
1723046	way	resented	8	8	6	6	In addition , many local leaders resented the way it was imposed from outside without understanding of local issues .
1723274	arrival	resented	16	16	14	14	In addition , many of the locals , especially of the higher classes , resented the arrival of forces from Buenos Aires and were ready to defect .
1730882	duty	resented	6	6	4	4	In addition , farmers resented the duty on binding-twine in the protective tariff , and Lind placed himself among the moderate tariff revisionists .
2044290	suggestion	resenting	15	15	13	13	And I think I had more grounds to resent it than you have resenting my suggestion that you recluse yourself from deciding for or against sanctions for edit-warriors in the Scn articles .
2046229	intervention	resent	14	14	12	12	And it is easy to see now why many Iranians continue to resent this intervention by America in their internal affairs .
2080928	implication	resent	4	4	2	2	And I resent the implication that I ' m a dumpling .
2080929	implication	resent	4	4	2	2	And I resent your implication of racism .
2168956	assumption	resent	7	7	4	4	And I deeply the resent the easy assumption represented above by Demiurge1000 ' s typical covert attack that I have that I have '' ever '' called another editor `` scum '' or a `` racist '' , or suggested that they should cut both of their eyes out .
2239612	idea	resented	6	6	4	4	Antony was impatient and resented the idea of being a prisoner .
2246773	position	resented	7	7	5	5	A number of cardinals still resented the position Janson had taken at the Paris assembly , but the Pope insisted Janson had been forgiven for past errors .
2251721	attention	resented	10	10	7	7	An Uncensored , Unauthorized History , Simon resented the media attention Groening received , particularly the praise for the show ' s writing ; Simon felt that Groening ' s involvement was limited , and that he should have been the one receiving credit for the show .
2286731	attempt	resent	13	13	11	11	And as the creator and primary editor of this article I resent any attempt at deletion .
2300523	rise	resented	27	27	22	22	Although the two had served together on the Senate Foreign Relations Committee , they had not been close , with Biden having resented Obama ' s quick rise to political stardom Now , having gotten to know each other during 2007 , Obama appreciated Biden ' s campaigning style and appeal to working class voters , and Biden was convinced that Obama was `` the real deal '' .
2304546	way	resent	5	5	3	3	And frankly I resent the way in which this new template is being pushed upon editors who are clearly uncomfortable with it .
2313109	closure	resented	32	32	30	30	And his biggest allies in the fight against the court-ordered desegregation measures were the two black school board members , -LSB- Democrats -RSB- Ed Sam and Rickey Hardy , who resented the closure of schools in black neighborhoods .
2316064	AMadScientist	resent	4	4	3	3	And I also resent AMadScientist claiming that I lied about never having seen this administrator thread until the time I posted .
2365171	attempt	resented	32	32	30	30	An attempt by the newly settled families to endow themselves with a constitution under a bailiff , as in Jersey , was put down by the authorities of Guernsey who resented any attempt to wrest Sark from their bailiwick .
2393562	rule	resented	28	28	26	26	Among the factors which benefited the invaders in the short campaign was that the Puerto Ricans who resided in the southern and western towns and villages resented Spanish rule and tended to view the Americans as their liberators .
2580305	fact	resented	33	33	31	31	An escorting officer ' s impression was that `` he is an intellectual ' crackpot ' who imagined that he could correct all the economic ills of the world and who resented the fact that ordinary mortals were not sufficiently intelligent to understand his aims and motives .
2624090	attempt	resented	21	21	19	19	And whether the nominator likes it or not , it was not surprising that the Soviet Union for one resented the attempt in the US to claim the concept and the implication that other citizens were unfree - the contrast between individual freedom and collective interest was at the heart of the ideological divide .
2689736	success	resented	18	18	16	16	Another suggestion , again with no proof , is that the P a keh a traders resented his success as a competitor .
2692757	fact	resented	30	30	28	28	Another theory is that the entire line of Cadmus was cursed , either by Ares , when Cadmus killed his serpent , or else by Hephaestus , who resented the fact that Cadmus married Harmonia , the daughter of Ares and Aphrodite , Hephaestus ' s straying wife .
2747825	dancing	resented	11	11	8	8	Animosity simmered in both teams as each had resented the other dancing on their logos after road wins in the immediately preceding years .
2768550	fact	resent	16	16	14	14	An increasing number of Protestants had been moving to Maryland and they began to resent the fact that most political offices were held by Catholics or other close friends of the Calverts .
2806318	intrusion	resents	24	24	22	22	Anita and Larry drive to the scene and meet Sergeant Freemont , who appears to want to crack the case herself and resents their intrusion .
2817253	burden	resenting	8	8	6	6	Anna coldly assists her , seemingly resenting the burden .
2827417	child	resenting	14	14	11	11	Ann discovers she is pregnant , and , despite Martin initially resenting the unborn child for forcing him to move away from The Close , the story ends on a high note with the couple bidding a fond farewell to their neighbours .
2865677	everyone	resents	21	21	36	36	Angelou is taught an important lesson about combating racism by Malcolm X , who compares it to a mountain in which everyone ' s efforts , even the efforts of Shirley Graham DuBois , whom Angelou resents , is needed .
2954951	choice	resented	15	15	13	13	Abolitionist cause was growing in strength , and some sections of public opinion resented the choice of Stevenson , who was a slaveowner , for this role .
2974910	indication	resents	57	57	54	54	Abbot feels that to be a true supervillain , he needs to prove his mettle against Iron Man , while at the same time , to humble Iron Man ; it has been an extended period of time since Iron Man has fought a `` supervillain '' in the classical sense , and Abbot resents the apparent indication that Iron Man is `` too good '' for supervillains , as if he is above that station .
2978310	admiration	resenting	35	35	29	29	Abby , by contrast , hates her at first glance , believing that Ziva was taking the place of her good friend , Special Agent Kate Todd , and resenting McGee ' s fascination and admiration for Ziva .
2997381	presence	resent	27	27	25	25	A 3rd year Kaio Middle School student who stands up for Akira when he gets bullied by three other members of the go club who resent his presence in the club .
3019114	editor	resent	6	6	4	4	ABF , and I resent this editor for implying as such .
