sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
1843	use	recommend	7	7	5	5	I ' m going to recommend the use of that site to newbies who are not inclinded to write references lists all by themselves .
1845	site	recommend	7	7	5	5	I ' m going to recommend this site to all my friends .
8448	editor	recommend	19	19	17	17	IMHO , there is no need for this action , and as a converse , I would recommend the editor who initiated this action , should withdraw it .
9977	swig	recommend	6	6	3	3	I might also recommend a good swig of Californian Syrup of Figs to shift the blockage .
12410	redirect	recommended	5	5	3	3	I might have recommended a redirect to the Brenda Venus article , but that one looks quite ripe for deletion itself .
13489	bot	recommend	4	4	2	2	I might recommend a bot to help detect this instead .
13490	blanking	recommend	5	5	2	2	I might recommend a courtesy blanking of this debate , whatever its result .
13491	cup	recommend	4	4	2	2	I might recommend a cup of tea , mate .
13492	request	recommend	4	4	2	2	I might recommend a request for comment .
13493	deletion	recommend	8	8	2	2	I might recommend a selective merger rather than deletion but it is not clear what the target article would be -LRB- maybe List of deployed WiMAX networks -RRB- and AfD is well suited to discussing whether or not we should have a standalone article on this subject .
13505	use	recommend	4	4	2	2	I might recommend the use of citation needed to you .
26830	establishment	recommended	12	12	11	11	In 1884 , a commission chaired by botanist Charles Sprague Sargent recommended establishment of a forest preserve , to be `` forever kept as wild forest lands .
27813	salvation	recommended	17	17	15	15	In 1884 he published his first novel , Le vice supr e me , which recommended the salvation of man through occult magick of the ancient east .
34558	approval	recommended	8	8	7	7	In 1886 surveyor general George Washington Julian recommended approval of the Atrisco grant claims submitted by lawyers representing 150 Atrisco residents .
35376	formation	recommended	7	7	5	5	In 1887 , a committee recommended the formation of a Grand Lodge museum .
40152	communion	recommended	28	28	21	21	In 1902 , in a speech before the Conseil G e n e ral of Morbihan , Chief Education Officer Dantzer recommended that `` the Church give first communion only to French-speaking children '' .
42542	implementation	recommended	8	8	6	6	In 1903 , a VCA sub-committee recommended the implementation of the system .
47635	repeal	recommending	23	23	21	21	In 1904 he was appointed as a member of the Royal Commission On Ecclesiastical Discipline , which reported in 1906 , recommending the repeal of the Public Worship Regulation Act 1874 .
48295	construction	recommended	8	8	6	6	In 1904 , Major John Pitcher recommended the construction of several new buildings to accommodate the growing contingent of soldiers .
48362	system	recommended	15	15	12	12	In 1904 , Minister for Defence Anderson Dawson commissioned a report which recommended a similar system for Australia , with a Military Board consisting of four military members , the minister , and a finance member .
52710	boundary	recommend	23	23	21	21	In 1889 , as the acquired territories of the two powers started to get closer , a commission was created to recommend a boundary .
54093	creation	recommending	27	27	25	25	In 1889 , Major General Bevan Edwards surveyed the military forces of the colonies and recommended that the colonies should combine their military forces and recommending the creation of a unified force of between 30 , 000 and 40 , 000 men , which would be organised into standard brigades consisting of foot and mounted infantry , engineers and artillery that could be rapidly mobilised through the establishment of defensive agreements between the colonies .
62890	training	recommended	7	7	5	5	In 1899 , Natthan Khan recommended further training from Alladiya Khan , the founder of Jaipur-Atrauli gharana and a court musician of Kolhapur .
64769	jack-o	recommended	11	11	8	8	In 1900 , an article on Thanksgiving entertaining recommended a lit jack-o ' - lantern as part of the festivities .
64770	jack-o	recommended	11	11	8	8	In 1900 , an article on Thanksgiving entertaining recommended a lit jack-o ' - lantern as part of the festivities that encourage kids and families to join together to make their own jack-o ' - lanterns .
66252	whisky	recommended	13	13	11	11	In 1900 , he was diagnosed with tuberculosis and his doctors recommended drinking whisky to alleviate his symptoms .
68686	system	recommended	13	13	8	8	In 1901 a Metropolitan and District joint committee recommended the Ganz three-phase AC system with overhead wires .
68687	system	recommended	13	13	9	9	In 1901 a Metropolitan and District joint electrification committee recommended a three-phase AC system with overhead wires .
68707	redesign	recommended	23	23	20	20	In 1901 and 1902 , the McMillan Commission used L'Enfant ' s plan as the cornerstone of a report that recommended a partial redesign of the capital city .
69480	addition	recommended	15	15	13	13	In 1901 he devised an apparatus for mixed-gas anaesthesia , and in 1903 recommended the addition of adrenalin as a vasoconstrictor to local anaesthetics .
72405	classification	recommended	10	10	8	8	In 1891 the International Meteorological Conference at Munich recommended the classification of Abercromby and Hildebrandsson .
72542	construction	recommended	10	10	8	8	In 1891 the Parliamentary Standing Committee on Railways recommended the construction of a spur line from Flemington Bridge to Pascoe Vale station to relieve crowding on the Essendon line at peak times , as well as providing a shorter alternative route to the city , following the route of what is now CityLink .
75812	brand	recommending	12	12	9	9	In 1892 Thomas published extracts from letters of people recommending the Cussons brand .
81453	parliament	recommended	7	7	6	6	In 1894 , the Railway Committee recommended parliament to prioritize three new lines , the Bergen Line , the Rauma Line and the Gj o vik Line .
