sentence_id	n	v	n_first_index	n_last_index	v_first_index	v_last_index	sentence_text
32559	island	desired	28	28	30	30	In 1885 , when the rivalry belween the British and Germans in East Africa was very keen , Otto von Bismarck appointed Rohlfs consul at Zanzibar , which island Bismarck desired to secure for Germany .
34453	model	desired	33	33	28	28	In 1886 , she designed a `` reformed costume '' , a loose dress without corset or bustle , on commission of the reformed dress society , which desired a more healthy dress model for women .
153545	federation	desiring	30	30	28	28	In 1919 , the National Catholic Welfare Council , composed of US Catholic bishops , founded NCWC at the urging of heads of Catholic women ' s organizations desiring a federation for concerted action and national representation .
282935	change	desired	22	22	20	20	In 1975 , at the age of 33 , Paasilinna found journalism growing `` more superficial and meaningless '' and desired a change ; Poloj a rvi 1999 .
344671	housing	desired	9	9	6	6	In 1956 , the Jaffa refugees desired more permanent housing .
371637	control	desiring	5	5	3	3	In 1939 , desiring greater control of their airline , Frye and Richter approached industrialist and film producer Howard Hughes to buy into the company .
477101	position	desired	13	13	18	18	In 1933 , he was appointed the Slade Professor at Cambridge , a position that Fry had much desired .
637389	education	desired	14	14	9	9	In 1980 , a small group of families who desired the very best in education for their children founded Cair Paravel School .
642896	union	desired	8	8	7	7	In 1977 , some of those who desired union with the Catholic Church contacted individual Catholic bishops , the Apostolic Delegate Archbishop Jean Jadot and the Congregation for the Doctrine of the Faith in Rome , to inquire about the possibility for married Anglican priests to be received into the Catholic Church and function as Catholic priests .
785035	vehicle	desired	9	9	6	6	In 1984 , the Swedish Army desired a unique vehicle with high mobility , air defence and anti-tank capability , high survivability and protection .
1083632	participation	desire	13	13	8	8	In communitarian theory , only those groups that desire direct or greater political participation have the right , including groups deprived of rights , per Allen Buchanan .
1110425	power	desired	12	12	9	9	In contrast , Angmo-Asan was a pampered child who desired glory and power .
1133880	ownership	desired	16	16	14	14	In contrast , it was claimed that the FM10 was intended for those who desired affordable ownership of a famous brand name , regardless of the actual quality of the camera itself .
1139568	power	desired	16	16	15	15	In contrast to Celeste , who feared the consuming power of the Phoenix , Phoebe desired power out of the sheer affinity for wielding it .
1193117	defence	desired	20	20	18	18	In August of the same year he was again arrested , and on his appearance in court he desired his defence to be undertaken by two women who were with him , alleging that the matter was of special concern to women ; the request was promptly refused .
1193410	restoration	desire	39	39	35	35	In August-September 1710 Queen Anne appointed a new Tory administration led by Robert Harley , who entered into a secret correspondence with the French Minister of Foreign Affairs , de Torcy , and claimed to desire James ' s restoration to the throne if James converted to Protestantism .
1204502	entry	desire	12	12	11	11	In cases where no exigent circumstances exist , police officers who desire entry would have to persuade a judge to issue a search warrant .
1287541	article	desire	31	31	34	34	In any of these cases , it is in violation of the spirit of Wikipedia and has introduced a highly POV `` gang '' of editors who attempt to control any article which they desire to edit .
1290727	progeny	desire	13	13	10	10	In a play on words , he reproaches those who desire wives and progeny .
1360035	child	desired	12	12	10	10	In a faraway kingdom , the king and queen had desired a child of their very own for a long time and when their wish finally came true , they announced a grand celebration at the palace .
1407655	end	desiring	21	21	18	18	In a letter to Jean Grave , written in September of that year , Kropotkin chastised Grave for desiring a peaceful end to the conflict , and insisted that the war must be fought to its end since `` the conditions of peace would be imposed by the victor '' .
1408058	production	desired	13	13	11	11	In a letter to the ministry dated 31 January 1916 Joffre desired the production of four hundred tanks of the type suggested by Estienne .
1451319	life	desire	75	75	74	74	In an article published in the Commercial Press ' s bi-monthly magazine on Chinese culture , The World of Chinese , Echo Zhao -LRB- 赵 蕾 -RRB- describes his writing as being prevaded with ' a sense of heroic morality ' that avoids the ' grim finality ' of an apocalyptic future , citing examples of clones with bumps on their fingers to distinguish them from non-clones and robots whose hearts explode when they desire life .
1462954	peace	desire	14	14	13	13	In announcing his candidacy for reelection in 1862 , he said `` I desire peace as ardently as anyone and shall use every honorable means to secure it , yet I will consent to no adjustment which does not bring with it the independence of the Confederate States , their total separation from the United States and all the blessings of liberty to which we are entitled by inheritance .
1497545	stealth	desiring	7	7	6	6	In a similar vein , orks desiring stealth will paint themselves purple ; the logic being that ' no one has ever seen a purple ork ' .
1516030	approach	desired	26	26	23	23	In April 2012 , while the plans for their second album were still in the embryonic stages , the members of the band desired a new approach for the production of Purify .
1527578	premiership	desire	16	16	14	14	In August 1873 Giblin carried a motion of want of confidence but did not desire the premiership , and Alfred Kennerley formed a cabinet with Giblin as his attorney-general .
1642779	assistance	desire	12	12	10	10	In addition , before engagement OTI explores whether local partners desire OTI assistance , whether OTI is the most appropriate U .
1680485	getaway	desiring	7	7	4	4	In addition to secretly desiring a quiet getaway , Jay wonders whether Gloria is deliberately avoiding spending time alone with him .
1745423	amount	desire	19	19	15	15	In 2010 , a study by the Guttmacher Institute found that non-indigenous and indigenous women desire almost the same amount of children .
1929767	link	desired	10	10	7	7	In 2001 , members of AB who desired a stronger link to Southern Basques left to form the Northern branch of Batasuna , a different party with a similar ideology which is now illegal in Spain .
2057496	chastity	desiring	32	32	31	31	And lawful to you are -LSB- all others -RSB- beyond these , -LSB- provided -RSB- that you seek them -LSB- in marriage -RSB- with -LSB- gifts from -RSB- your property , desiring chastity , not unlawful sexual intercourse .
2068451	anything	desire	12	12	11	11	And now , being a prisoner , I learn not to desire anything worldly or vain .
2074387	security	desire	11	11	7	7	And in any case , those who desire Wikipedia ' s security over editors ' freedom so often get neither .
