60983906	gift	wanted	13	13	11	11	Sv a fa called him Helgi and asked him if he wanted a gift with his newly given name -LRB- which was customary -RRB- , but Helgi wanted nothing if he could not have Sv a fa herself .
12713203	explanation	want	4	4	2	2	If you want an explanation from the admins , or seek to overturn such an action , please consult this and read this .
67868756	connection	wants	13	13	10	10	The most common is that of the end-user , who wants a digital connection into the telephone network from home , whose performance would be better than a 20th-century analog 56K modem connection .
4715299	damage	want	14	14	10	10	Definitely not a safer way to sunbathe - unless you want the more immediate damage of burnt skin !
29953832	anything	wanted	6	6	5	5	Forde asked Blamey if he wanted anything in way of recognition for his services , and Blamey asked for knighthoods for his generals , but Forde could not arrange this .
7838563	OBOD	want	21	21	19	19	After that , the next five messages would include an extra link to tell the user that if they want the OBOD forever , they need to go to their preferences because it will automatically change to something cooler after ten messages .
38541095	history	wants	17	17	15	15	It seems like there ' s nothing useful to merge , that no one particularly wants the history of problematic edits , and -LRB- from what I can tell by inspecting the history -RRB- that there was never a direct merge from this article in the past -LRB- which would pose GFDL edit history issues -RRB- .
70854538	son	wanted	29	29	27	27	Wasilla mayoral electionIn August 2010 , Johnston announced that he would be running in the October 2011 election for mayor of Wasilla , Alaska , saying he wanted his son , Tripp , to be proud of him .
32891226	money	wants	32	32	29	29	Jacky is almost murdered simultaneously by Mike Fink because she stole his boat , British Lieutenant Flashby -LRB- a minor character from the second book -RRB- , because he wants the prize money for Jacky ' s head , and the pirate brothers Lafitte because Jacky stole quite a bit of loot from them during her time as a privateer .
49355181	kind	want	4	4	2	2	Obviously you want some kind of apology or shoulder rub to make you feel better .
3613463	feeling	wanted	14	14	9	9	Actually this picture was taken by sunlight but I wanted a kind of moonlight feeling .
49508014	income	wanted	35	35	34	34	On 2 April 2013 , Amy Winehouse ' s father Mitchell Winehouse used his Twitter profile to reveal that Knowles had not informed him of her plans to cover the song and that he wanted income from the song to go to his Amy Winehouse Foundation .
49637953	part	wants	7	7	5	5	Now a distinguished academic who wants no part of his past fame , he sets out to stop the showing of his old films on television in 1952 ' s Dreamboat which concludes with Webb ' s alter ego Sayre watching himself star in Sitting Pretty .
1345099	Adso	wanted	13	13	9	9	In another version of the story , Eco had wanted the neutral title Adso of Melk , but that was vetoed by his publisher , and then the title The Name of the Rose `` came to me virtually by chance .
52876724	assistance	wanted	6	6	4	4	Second Bulgarian Empire and wanted Serbian assistance .
5718905	information	wants	21	21	18	18	Because Burt would rightly assume that there ' s somebody in the hills with a high-powered telescope who wants his keypad information , wants the code .
1460974	truth	want	63	63	58	58	In an interview with The Guardian in December 1993 , Swire said that he `` had good reason to believe Coleman ' s drug theories '' even though they were used by Pan American World Airways lawyers to try to deflect responsibility from the company and `` ' We may be faced with the decision of whether we want the money or the truth .
9584924	list	wanted	15	15	14	14	Fahndungsliste ' translates into ' wanted list ' , ' sonderfahndungsliste into ' especially wanted list ' or ' most wanted list ' .
54248765	education	wanting	22	22	18	18	She has criticized `` the standard institutions of higher education '' as `` the biggest barrier towards students wanting a real classical education '' , and has expressed an interest in recruiting young people to the LaRouche Youth Movement .
33743885	boy	wants	8	8	6	6	It lets her leave because it wants a boy .
64216114	name	wanted	21	21	19	19	The first deletion discussion was at a name I moved it to ; I opposed deletion then , and wanted a name I could remember .
53357338	divorce	wants	20	20	18	18	Sanderson purchases yet another toy , his wife locks herself in her room and tells him that she wants a divorce , prompting the rest of the family to do the housework .
34833349	article	want	3	3	1	1	I want an article on this mythilogical god , Cnelus .
