sentence_id	n	v	w	n_first_index	n_last_index	v_first_index	v_last_index	w_first_index	w_last_index	sentence_text
4253	guidance	love	would	11	11	9	9	8	8	I ' m happy to re-do , but would love some guidance !
1338563	time	love	would	28	28	26	26	25	25	In an oft-quoted comment referring to the frequency ratios used in just intonation , he said , `` I ' d long thought that I would love a time when musicians were numerate as well as literate .
1458747	nothing	love	would	21	21	20	20	19	19	In an interview with FEARnet , Williamson continued to deny a rumor of Jamie Kennedy returning , `` I would love nothing more than to have Jamie Kennedy in the film .
1459939	child	loved	would	41	41	39	39	37	37	In an interview with People magazine in 1989 , Dennis revealed she and Gerry Mulligan had suffered a miscarriage in 1965 and went on to say , `` if I ' d been a mother , I would have loved the child , but I just did not have any connection with it when I was pregnant .
1996610	return	love	would	29	29	23	23	21	21	In 2012 , Lynne McGranger who plays Irene Roberts , told a writer from What ' s on TV that she would `` love '' her on-screen son Nathan return to the serial .
3142642	question	love	would	7	7	5	5	4	4	A grown-up Bart Simpson would love this question .
3158418	stability	love	would	4	4	2	2	1	1	AJ would love the stability of a family life like Masood ' s , while Masood would love to pack his bags , get drunk and perhaps end up in a stranger ' s bed .
3234340	explanation	love	would	19	19	17	17	16	16	I since Tanbrae wo not stop making these accusations on any page he can , I would love an explanation as to this .
4083516	role	love	would	10	10	8	8	6	6	A Christmas Carol '' and Tracy would dearly love a role .
4606006	nothing	love	would	9	9	8	8	7	7	Caleb also said in an interview he would love nothing more than to go on a tour playing with Attack Attack !
5138429	music	love	would	23	23	21	21	20	20	Destler , it seems , had made a pact with the devil -LRB- maybe by accident -RRB- so the world would love his music .
5320550	page	loved	would	5	5	3	3	1	1	Dad would have loved a page on himself , but I could not cite any refs .
5429199	man	love	would	14	14	12	12	11	11	Deirdre grew up , and one day told Leabharcham that she would love a man with hair the color of the raven , skin as white as snow , and lips as red as blood .
5490752	help	love	would	16	16	14	14	13	13	August 2007 -LRB- UTC -RRB- Unfortunately , bit off too much - - would love some help .
6654964	feedback	loved	would	15	15	13	13	11	11	During the first GA Review this article went under , I would have loved more feedback .
6823765	opinion	love	would	6	6	4	4	3	3	Also , I would love an opinion on how close it is to GA status .
6823767	insurance	love	would	6	6	4	4	3	3	Also , i would love some insurance that this user will not again do this .
6963660	adminship	love	would	4	4	3	3	2	2	Although I would love adminship , as I said , I was just joking around as I normally do .
6970389	parent	love	would	37	37	35	35	34	34	Although Monica is initially frightened of David , she eventually warms to him and activates his imprinting protocol , which irreversibly causes David to project love for her , the same as any child would love a parent .
7270377	help	love	would	22	22	20	20	19	19	Also there are hundreds of more edits that need looking at and the group of us working on it would love more help .
7650611	someone	love	would	24	24	23	23	19	19	A extra side story reveals that Ritsuka was very popular with boys in middle school and wondered what it would be like to love someone and to have a boyfriend .
7905462	way	love	would	25	25	22	22	20	20	After she helped him escape the ludus , Mira became Spartacus ' lover , until she came to realize he would never love her the way she loved him .
8108708	feedback	love	would	6	6	4	4	3	3	Again , I would love your feedback as to what , exactly you think would be better about a mecha as opposed to a tank , or a soldier in combat armor .
8633571	access	love	would	4	4	3	3	2	2	Alexisthomas13 - would love access to JSTOR .
8967875	attention	love	would	6	6	4	4	3	3	English Renaissance which would love some attention too .
9043963	opinion	love	would	37	37	34	34	33	33	February 2010 -LRB- UTC -RRB- I have created the page H2O Audio and do not want it to get deleted as potential advertising , I feel that I have reliable sources , but would love a second opinion .
